Msuc,Mdis,,Msuc,Mdis,,Psuc,Pdis,,Psuc,Pdis,,Tsuc,Tdis,,Tsuc,Tdis,,Tsuc,Tdis,,Tsuc,Tdis
lbm/min,lbm/min,,0.338093851,0.115813445,,psia,psia,,0.129240536,0.235302006,,F,F,,0.231610699,0.153290561,,F,F,,0.231610699,0.153290561
54.736208,63.314655,,,,,59.990769,119.273609,,,,,69.749872,131.530742,,,,,530.419872,592.200742,,,
54.657618,63.294292,,,,,59.98675,119.288363,,,,,69.745881,131.531535,,,,,530.415881,592.201535,,,
54.644984,63.282164,,,,,59.982854,119.331512,,,,,69.741549,131.532537,,,,,530.411549,592.202537,,,
54.645076,63.266024,,,,,59.97548,119.343799,,,,,69.738197,131.533408,,,,,530.408197,592.203408,,,
54.578153,63.265824,,,,,59.97047,119.317493,,,,,69.734047,131.534215,,,,,530.404047,592.204215,,,
54.582436,63.261761,,,,,59.965775,119.300097,,,,,69.730719,131.534605,,,,,530.400719,592.204605,,,
54.590312,63.248147,,,,,59.958194,119.226821,,,,,69.726987,131.535181,,,,,530.396987,592.205181,,,
54.569697,63.230595,,,,,59.957037,119.188285,,,,,69.72415,131.535641,,,,,530.39415,592.205641,,,
54.522717,63.214297,,,,,59.956406,119.145349,,,,,69.720797,131.536247,,,,,530.390797,592.206247,,,
54.559245,63.201983,,,,,59.954093,119.167633,,,,,69.717795,131.536381,,,,,530.387795,592.206381,,,
54.604428,63.177397,,,,,59.946012,119.214563,,,,,69.714272,131.536228,,,,,530.384272,592.206228,,,
54.620705,63.175873,,,,,59.946165,119.247265,,,,,69.712034,131.535863,,,,,530.382034,592.205863,,,
54.588487,63.192444,,,,,59.938822,119.270117,,,,,69.709827,131.53495,,,,,530.379827,592.20495,,,
54.572149,63.19647,,,,,59.937677,119.181933,,,,,69.707986,131.533968,,,,,530.377986,592.203968,,,
54.639518,63.212762,,,,,59.938385,119.195716,,,,,69.706045,131.532097,,,,,530.376045,592.202097,,,
54.690933,63.224903,,,,,59.936695,119.194993,,,,,69.704719,131.529673,,,,,530.374719,592.199673,,,
54.690052,63.233212,,,,,59.941318,119.249657,,,,,69.703497,131.525715,,,,,530.373497,592.195715,,,
54.772014,63.233168,,,,,59.941407,119.230172,,,,,69.703464,131.522094,,,,,530.373464,592.192094,,,
54.835672,63.253487,,,,,59.941684,119.156194,,,,,69.704025,131.517301,,,,,530.374025,592.187301,,,
54.942836,63.273745,,,,,59.947357,119.153038,,,,,69.70544,131.512544,,,,,530.37544,592.182544,,,
54.88716,63.290069,,,,,59.950431,119.144817,,,,,69.707669,131.50617,,,,,530.377669,592.17617,,,
54.856213,63.302092,,,,,59.958581,119.123182,,,,,69.709243,131.500016,,,,,530.379243,592.170016,,,
54.990755,63.305809,,,,,59.963212,119.160507,,,,,69.712183,131.492092,,,,,530.382183,592.162092,,,
54.974336,63.313931,,,,,59.970796,119.079998,,,,,69.715519,131.485317,,,,,530.385519,592.155317,,,
54.965922,63.33057,,,,,59.984278,119.077341,,,,,69.7199,131.476605,,,,,530.3899,592.146605,,,
55.031206,63.345022,,,,,59.992819,119.082142,,,,,69.723371,131.468959,,,,,530.393371,592.138959,,,
55.043158,63.365207,,,,,60.002635,119.035788,,,,,69.728033,131.459442,,,,,530.398033,592.129442,,,
55.063238,63.373186,,,,,60.009106,118.981825,,,,,69.732808,131.451426,,,,,530.402808,592.121426,,,
55.112374,63.39785,,,,,60.019991,118.930453,,,,,69.739353,131.441829,,,,,530.409353,592.111829,,,
55.104579,63.41707,,,,,60.027392,118.896846,,,,,69.745023,131.433652,,,,,530.415023,592.103652,,,
55.091381,63.419874,,,,,60.038023,118.903561,,,,,69.752082,131.42364,,,,,530.422082,592.09364,,,
55.144136,63.428212,,,,,60.047054,118.897099,,,,,69.758663,131.414897,,,,,530.428663,592.084897,,,
55.082138,63.436259,,,,,60.053759,118.846735,,,,,69.76687,131.404721,,,,,530.43687,592.074721,,,
54.985653,63.436266,,,,,60.058786,118.833681,,,,,69.773454,131.396299,,,,,530.443454,592.066299,,,
54.955539,63.436114,,,,,60.064224,118.757177,,,,,69.780951,131.386362,,,,,530.450951,592.056362,,,
54.902938,63.43629,,,,,60.071673,118.806374,,,,,69.786907,131.378552,,,,,530.456907,592.048552,,,
54.806719,63.436516,,,,,60.075503,118.731097,,,,,69.793749,131.369328,,,,,530.463749,592.039328,,,
54.753683,63.436253,,,,,60.078094,118.770762,,,,,69.799298,131.36252,,,,,530.469298,592.03252,,,
54.813687,63.436078,,,,,60.081738,118.690682,,,,,69.805614,131.354487,,,,,530.475614,592.024487,,,
54.80717,63.436248,,,,,60.088174,118.674317,,,,,69.811155,131.348186,,,,,530.481155,592.018186,,,
54.724987,63.436516,,,,,60.094895,118.686382,,,,,69.817683,131.341656,,,,,530.487683,592.011656,,,
54.779434,63.436502,,,,,60.100016,118.648755,,,,,69.822879,131.336373,,,,,530.492879,592.006373,,,
54.827308,63.436495,,,,,60.101042,118.667252,,,,,69.829058,131.330854,,,,,530.499058,592.000854,,,
54.872315,63.436455,,,,,60.109043,118.725409,,,,,69.835854,131.326003,,,,,530.505854,591.996003,,,
54.928411,63.436683,,,,,60.10741,118.747481,,,,,69.841,131.322056,,,,,530.511,591.992056,,,
54.831688,63.437003,,,,,60.110681,118.74206,,,,,69.846428,131.317608,,,,,530.516428,591.987608,,,
54.766068,63.436815,,,,,60.115573,118.767036,,,,,69.850914,131.314321,,,,,530.520914,591.984321,,,
54.814314,63.43639,,,,,60.120565,118.763278,,,,,69.856488,131.31058,,,,,530.526488,591.98058,,,
54.81508,63.436106,,,,,60.123324,118.812115,,,,,69.860916,131.307922,,,,,530.530916,591.977922,,,
54.888303,63.435944,,,,,60.126827,118.873029,,,,,69.865661,131.305289,,,,,530.535661,591.975289,,,
54.87135,63.436025,,,,,60.131457,118.903596,,,,,69.869407,131.303533,,,,,530.539407,591.973533,,,
54.911817,63.436043,,,,,60.137393,118.921876,,,,,69.873998,131.301905,,,,,530.543998,591.971905,,,
54.931354,63.436049,,,,,60.139291,118.93346,,,,,69.878366,131.300847,,,,,530.548366,591.970847,,,
55.050193,63.435965,,,,,60.146892,118.904612,,,,,69.883469,131.299717,,,,,530.553469,591.969717,,,
55.156148,63.435682,,,,,60.155915,118.926445,,,,,69.887627,131.299094,,,,,530.557627,591.969094,,,
55.202658,63.43576,,,,,60.162606,118.952738,,,,,69.891973,131.298503,,,,,530.561973,591.968503,,,
55.22282,63.435886,,,,,60.169512,118.964217,,,,,69.895254,131.29842,,,,,530.565254,591.96842,,,
55.277038,63.43575,,,,,60.171248,118.989087,,,,,69.899306,131.298709,,,,,530.569306,591.968709,,,
55.269117,63.435773,,,,,60.175142,119.011022,,,,,69.902578,131.298746,,,,,530.572578,591.968746,,,
55.307305,63.435786,,,,,60.179677,119.087461,,,,,69.905955,131.298863,,,,,530.575955,591.968863,,,
55.23308,63.435729,,,,,60.183108,119.119003,,,,,69.90873,131.298732,,,,,530.57873,591.968732,,,
55.060867,63.435703,,,,,60.183402,119.057298,,,,,69.911482,131.298509,,,,,530.581482,591.968509,,,
55.024051,63.4358,,,,,60.18617,119.065127,,,,,69.91386,131.298309,,,,,530.58386,591.968309,,,
55.061586,63.435773,,,,,60.191593,119.107971,,,,,69.916497,131.298114,,,,,530.586497,591.968114,,,
55.126652,63.435786,,,,,60.192408,119.10455,,,,,69.918159,131.297852,,,,,530.588159,591.967852,,,
55.140333,63.435734,,,,,60.196815,119.037792,,,,,69.920003,131.297785,,,,,530.590003,591.967785,,,
55.143197,63.435886,,,,,60.199276,118.997488,,,,,69.921492,131.297646,,,,,530.591492,591.967646,,,
55.032318,63.435994,,,,,60.203771,118.934666,,,,,69.922921,131.297713,,,,,530.592921,591.967713,,,
55.023235,63.435975,,,,,60.206761,118.895805,,,,,69.923878,131.297874,,,,,530.593878,591.967874,,,
55.063831,63.43607,,,,,60.205454,118.934786,,,,,69.925458,131.298615,,,,,530.595458,591.968615,,,
54.978331,63.436203,,,,,60.207142,118.917876,,,,,69.926518,131.299313,,,,,530.596518,591.969313,,,
54.976206,63.436224,,,,,60.20619,118.896836,,,,,69.927823,131.29997,,,,,530.597823,591.96997,,,
54.960341,63.436484,,,,,60.208956,118.943596,,,,,69.929031,131.300352,,,,,530.599031,591.970352,,,
54.999342,63.436683,,,,,60.208405,118.952962,,,,,69.930297,131.300602,,,,,530.600297,591.970602,,,
54.922093,63.436883,,,,,60.207933,118.941782,,,,,69.931392,131.300825,,,,,530.601392,591.970825,,,
54.888028,63.436964,,,,,60.208273,118.941053,,,,,69.93273,131.300983,,,,,530.60273,591.970983,,,
54.952735,63.436867,,,,,60.209422,118.911493,,,,,69.934194,131.301092,,,,,530.604194,591.971092,,,
54.831457,63.436972,,,,,60.211607,118.887275,,,,,69.936699,131.301265,,,,,530.606699,591.971265,,,
54.810745,63.437072,,,,,60.214181,118.927922,,,,,69.938873,131.301284,,,,,530.608873,591.971284,,,
54.97484,63.437121,,,,,60.217429,118.929839,,,,,69.941235,131.301109,,,,,530.611235,591.971109,,,
55.068337,63.436935,,,,,60.217786,118.971806,,,,,69.943002,131.300919,,,,,530.613002,591.970919,,,
55.141481,63.436794,,,,,60.22053,118.972577,,,,,69.944983,131.300602,,,,,530.614983,591.970602,,,
55.165931,63.444819,,,,,60.220102,118.98602,,,,,69.946638,131.300608,,,,,530.616638,591.970608,,,
55.175554,63.445189,,,,,60.219551,119.055651,,,,,69.948363,131.300775,,,,,530.618363,591.970775,,,
55.135444,63.445071,,,,,60.219555,119.097033,,,,,69.949717,131.301003,,,,,530.619717,591.971003,,,
55.180855,63.444835,,,,,60.218863,119.08374,,,,,69.951919,131.301292,,,,,530.621919,591.971292,,,
55.199432,63.444848,,,,,60.219113,119.122825,,,,,69.954083,131.301651,,,,,530.624083,591.971651,,,
55.211604,63.444707,,,,,60.222808,119.110317,,,,,69.956362,131.301818,,,,,530.626362,591.971818,,,
55.308559,63.444741,,,,,60.225631,119.196662,,,,,69.95782,131.301537,,,,,530.62782,591.971537,,,
55.285326,63.44462,,,,,60.230577,119.232402,,,,,69.959064,131.301092,,,,,530.629064,591.971092,,,
55.189723,63.444158,,,,,60.229153,119.173805,,,,,69.959744,131.300583,,,,,530.629744,591.970583,,,
55.185421,63.460018,,,,,60.231866,119.16575,,,,,69.960554,131.300232,,,,,530.630554,591.970232,,,
55.193617,63.459827,,,,,60.231637,119.112234,,,,,69.961288,131.299979,,,,,530.631288,591.969979,,,
55.185786,63.459528,,,,,60.233066,119.095358,,,,,69.962367,131.299656,,,,,530.632367,591.969656,,,
55.216488,63.459557,,,,,60.23237,119.091678,,,,,69.963311,131.299372,,,,,530.633311,591.969372,,,
55.293695,63.459302,,,,,60.234158,119.065951,,,,,69.96365,131.29911,,,,,530.63365,591.96911,,,
55.430083,63.459135,,,,,60.234457,119.047998,,,,,69.963628,131.299077,,,,,530.633628,591.969077,,,
55.446507,63.458825,,,,,60.235143,119.036325,,,,,69.963964,131.299333,,,,,530.633964,591.969333,,,
55.474878,63.458885,,,,,60.236777,118.962626,,,,,69.96395,131.299589,,,,,530.63395,591.969589,,,
55.361369,63.458925,,,,,60.238412,118.988608,,,,,69.963727,131.299681,,,,,530.633727,591.969681,,,
55.29588,63.451098,,,,,60.239885,118.946214,,,,,69.963865,131.299433,,,,,530.633865,591.969433,,,
55.319254,63.450847,,,,,60.242597,118.945889,,,,,69.964355,131.298682,,,,,530.634355,591.968682,,,
55.298686,63.451088,,,,,60.24316,118.956202,,,,,69.964966,131.297696,,,,,530.634966,591.967696,,,
55.34907,63.451264,,,,,60.247599,118.934557,,,,,69.964899,131.296764,,,,,530.634899,591.966764,,,
55.380756,63.451332,,,,,60.249443,118.917952,,,,,69.964412,131.295678,,,,,530.634412,591.965678,,,
55.324133,63.451219,,,,,60.253325,118.915867,,,,,69.96425,131.294813,,,,,530.63425,591.964813,,,
55.267879,63.451151,,,,,60.252801,118.82858,,,,,69.963975,131.294551,,,,,530.633975,591.964551,,,
55.316999,63.451279,,,,,60.252547,118.820692,,,,,69.963777,131.294512,,,,,530.633777,591.964512,,,
55.349946,63.451534,,,,,60.251589,118.850268,,,,,69.96392,131.294793,,,,,530.63392,591.964793,,,
55.301299,63.435624,,,,,60.255392,118.81919,,,,,69.96469,131.295342,,,,,530.63469,591.965342,,,
