Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 4, 2018
3:35:11 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz
55.931671,69.988730,164.087893,160.178270,60.500183,57.864381,59.198140,12.969875,161.284470,1.522775,69.190980,56.626982,158.931005,163.477939,156.560754,162.254213,72.150524,161.716977,0.001969,-1.679650,32.000000,-237.037011,162.453316,0.356968,15.420570,0.681433,277108.882835,0.912612,24.016275,38.104598,2.929086,69.510582,95.952236,56.927103,6.000000,41.356040
55.925952,69.936027,164.166285,160.175439,60.475503,57.864455,59.209864,12.969141,161.358122,1.360424,69.130108,56.621316,158.922396,163.549923,156.550231,162.326632,72.175615,161.786701,0.001968,-1.679643,32.000000,-237.037779,162.486790,0.305413,15.425822,0.681153,277026.599569,0.912117,23.932693,38.115216,2.931848,69.511626,95.950985,56.927937,6.000000,41.399563
55.915151,69.857283,164.283063,160.174656,60.567959,57.864455,59.159733,12.969595,161.467962,1.353536,69.037056,56.609119,158.911557,163.656332,156.533523,162.433821,72.213849,161.893846,0.001989,-1.679628,32.000000,-237.037269,162.595454,0.303785,15.432868,0.681028,276928.033730,0.911753,23.859610,38.122968,2.933721,69.513174,95.948356,56.929074,6.000000,41.470455
55.900759,69.778342,164.367629,160.177257,60.701422,57.864539,59.149549,12.968554,161.570810,1.353568,68.944235,56.593941,158.902966,163.760331,156.517460,162.537648,72.252344,161.999034,0.001978,-1.679625,32.000000,-237.038420,162.697963,0.303913,15.441366,0.681082,276862.753958,0.911550,23.812326,38.127484,2.935422,69.515435,95.946778,56.930652,6.000000,41.535572
55.883596,69.698627,164.486931,160.183298,60.755059,57.864415,59.214875,12.968247,161.672447,1.353824,68.850719,56.576383,158.896822,163.861873,156.501752,162.640829,72.291070,162.100821,0.001970,-1.679622,32.000000,-237.038749,162.798007,0.303866,15.457277,0.681208,276764.571102,0.912327,23.743815,38.134731,2.938078,69.517632,95.946965,56.932314,6.000000,41.606628
55.868351,69.645336,164.582389,160.188702,60.820036,57.856350,59.188670,12.967403,161.739591,1.353818,68.788899,56.562312,158.894340,163.929425,156.492092,162.707086,72.317132,162.166546,0.001969,-1.679625,32.000000,-237.039493,162.864018,0.303846,15.463791,0.681199,276667.274268,0.912555,23.678509,38.140863,2.940347,69.519200,95.948205,56.933580,6.000000,41.660487
55.846472,69.566077,164.651598,160.198687,60.978796,57.848193,59.168803,12.967237,161.840969,1.354108,68.697806,56.540167,158.892295,164.030301,156.477871,162.805894,72.356731,162.266507,0.001990,-1.679633,32.000000,-237.039718,162.976289,0.304083,15.463367,0.681032,276568.797396,0.911664,23.615060,38.145301,2.943385,69.521137,95.951355,56.934899,6.000000,41.738786
55.821019,69.487917,164.750306,160.211137,61.111333,57.823820,59.177098,12.966349,161.942935,1.114616,68.606700,56.513868,158.892790,164.128256,156.466783,162.904426,72.395298,162.365374,0.001997,-1.679615,32.000000,-237.040654,163.110995,0.223663,15.475804,0.681116,276465.730996,0.912088,23.576219,38.147100,2.945897,69.522349,95.955379,56.936118,6.000000,41.793218
55.786512,69.409537,164.845033,160.225516,61.226233,57.799491,59.174124,12.965904,162.040455,1.107057,68.519126,56.481196,158.895640,164.226140,156.457061,163.002965,72.432871,162.464800,0.001978,-1.679601,32.000000,-237.041136,163.207390,0.222284,15.477281,0.681437,276329.801457,0.912469,23.517707,38.149859,2.948290,69.522759,95.959916,56.937597,6.000000,41.862491
55.759853,69.358706,164.930914,160.236877,61.303589,57.783256,59.221265,12.965930,162.104698,1.107047,68.467883,56.452600,158.898801,164.290343,156.451712,163.067651,72.456639,162.529510,0.001977,-1.679601,32.000000,-237.041120,163.269328,0.222231,15.478080,0.681167,276119.612993,0.912228,23.463688,38.153165,2.951403,69.523379,95.962928,56.939171,6.000000,41.909931
55.713568,69.289541,165.055620,160.258101,61.324189,57.742802,59.160374,12.967244,162.195661,1.226288,68.403453,56.404007,158.906127,164.380285,156.445405,163.160243,72.489912,162.623515,0.001976,-1.679598,32.000000,-237.039871,163.344873,0.263000,15.489301,0.681487,275913.058054,0.912325,23.418051,38.157685,2.954926,69.524261,95.967478,56.941668,6.000000,41.998470
55.656342,69.228261,165.150080,160.284102,61.389719,57.694117,59.200273,12.967097,162.275850,1.230430,68.350690,56.344619,158.916222,164.463204,156.440244,163.241145,72.521704,162.708506,0.001998,-1.680775,32.000000,-237.039989,163.427156,0.262922,15.493531,0.681837,275778.880576,0.911701,23.392526,38.161300,2.957879,69.525237,95.972413,56.944915,6.000000,42.070145
55.591435,69.176267,165.247463,160.316555,61.474399,57.645420,59.210770,12.965793,162.348992,1.230901,68.311205,56.280952,158.929947,164.532442,156.436191,163.313344,72.550386,162.783127,0.001980,-1.682519,32.000000,-237.041306,163.499661,0.263105,15.498587,0.681824,275511.011335,0.912671,23.367318,38.167795,2.962575,69.526080,95.977276,56.948461,6.000000,42.139402
