Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, October 25, 2018
9:57:58 AM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
2.260163,19.964433,3.819582,41.774680,12.477773,0.266263,59.570516,0.870546,3.606803,0.011876,20.879907,2.291135,38.838991,3.576237,33.163594,3.562340,7.108478,3.552862,0.000287,-0.000045,0.000000,-16.367422,3.619249,0.000951,179.999974,0.000299,356.604321,0.003401,79.933688,29.058994
2.257090,20.062251,3.816167,41.931658,12.477769,0.265742,59.626718,0.870574,3.603196,0.012247,21.020227,2.288199,39.038765,3.572386,33.378583,3.558238,7.082472,3.549033,0.000260,-0.000045,0.000000,-16.367397,3.616102,0.001755,179.999974,0.000299,357.471927,0.003395,80.182583,29.042654
2.255095,20.127757,3.813919,42.033941,12.477769,0.265373,59.645162,0.870556,3.601008,0.011628,21.114177,2.286140,39.168934,3.569853,33.519645,3.555577,7.065565,3.546600,0.000239,-0.000045,0.000000,-16.367410,3.615292,0.001716,179.999974,0.000299,358.415376,0.003399,80.424122,29.032909
2.252168,20.226313,3.811702,42.184166,12.477766,0.264821,59.636915,0.870570,3.597947,0.011395,21.255008,2.283346,39.359189,3.566353,33.727157,3.551895,7.040660,3.543258,0.000220,-0.000045,0.000000,-16.367399,3.613853,0.001907,179.999974,0.000299,359.379892,0.003396,80.663886,29.023698
2.249617,20.325341,3.809331,42.330482,12.477763,0.264329,59.642595,0.870607,3.595089,0.012201,21.396039,2.280835,39.543284,3.563152,33.929318,3.548480,7.016321,3.540043,0.000203,-0.000045,0.000000,-16.367365,3.612397,0.001712,179.999974,0.000299,359.994861,0.003394,80.823202,29.018503
2.247182,20.424710,3.807161,42.473810,12.477759,0.263869,59.636949,0.870634,3.592528,0.013017,21.536680,2.278464,39.722470,3.560095,34.127572,3.545261,6.993366,3.537122,0.000177,-0.000045,0.000000,-16.367335,3.611542,0.001783,179.999974,0.000299,360.936698,0.003394,81.061377,29.014366
2.245618,20.491235,3.804852,42.567519,12.477757,0.263563,59.640043,0.870657,3.590922,0.013707,21.630691,2.276834,39.838769,3.558223,34.256869,3.543216,6.979723,3.535355,0.000169,-0.000044,0.000000,-16.367311,3.611302,0.001981,179.999974,0.000298,361.907745,0.003392,81.292654,29.011031
2.243260,20.591367,3.802280,42.705378,12.477754,0.263195,59.631826,0.870669,3.588510,0.013981,21.771165,2.274559,40.010007,3.555385,34.447535,3.540279,6.960633,3.532421,0.000154,-0.000044,0.000000,-16.367294,3.610979,-0.001237,179.999974,0.000298,362.921039,0.003392,81.522190,29.009496
2.241080,20.691778,3.800322,42.840790,12.477751,0.262826,59.658090,0.870641,3.586093,0.013986,21.911861,2.272221,40.177314,3.552770,34.634670,3.537396,6.944688,3.529763,0.000140,-0.000044,0.000000,-16.367327,3.610634,-0.001551,179.999974,0.000298,363.589150,0.003391,81.674492,29.008119
2.239036,20.792374,3.798224,42.973515,12.477748,0.262456,59.633554,0.870625,3.583869,0.014391,22.051950,2.270228,40.340235,3.550226,34.815932,3.534758,6.931738,3.527168,0.000135,-0.000044,0.000000,-16.367341,3.609978,-0.001528,179.999974,0.000298,364.662700,0.003392,81.903858,28.999384
2.235422,20.893189,3.795684,43.104099,12.477745,0.262026,59.571563,0.870664,3.582745,0.015614,22.192498,2.265725,40.499913,3.548405,34.992847,3.532819,6.921357,3.525600,0.000126,-0.000043,0.000000,-16.367300,3.610143,-0.002060,179.999974,0.000298,365.701200,0.003391,82.130047,28.989019
2.237573,20.960249,3.787903,43.190079,12.477743,0.261004,8.418574,0.870663,3.578204,0.017222,22.284373,2.270094,40.603781,3.543324,35.109329,3.528462,6.915581,3.523234,0.000121,-0.000043,0.000000,-16.367299,3.607121,-0.002001,179.999974,0.000298,366.678645,0.003392,82.353757,28.974174
2.265374,21.058438,3.772914,43.314745,12.312784,0.254287,7.997892,0.870648,3.569918,0.021174,22.427028,2.298821,40.752905,3.532811,35.277430,3.519682,6.903516,3.516752,0.000139,-0.000043,0.000000,-16.367316,3.600841,-0.001605,179.999974,0.000298,367.922858,0.003397,82.610715,28.969802
2.297913,21.167577,3.759144,43.433060,11.937955,0.246172,295.199031,0.870542,3.562849,0.022401,22.579150,2.331048,40.887781,3.523891,35.434328,3.512292,6.865929,3.510963,0.000119,-0.000042,0.000000,-16.367423,3.595897,-0.001538,179.999974,0.000295,366.789923,0.023928,82.686487,28.945378
2.331076,21.287836,3.745349,43.543519,11.560359,0.238057,295.202516,0.870512,3.556390,0.024247,22.732654,2.363778,41.007497,3.515576,35.578939,3.505559,6.816952,3.505912,0.000089,-0.000042,0.000000,-16.367451,3.591557,-0.001613,179.999974,0.000279,353.577163,0.024231,82.285440,28.871603
2.353388,21.370432,3.736685,43.613626,11.310760,0.232646,295.180982,0.870503,3.552369,0.024976,22.833758,2.385744,41.081375,3.510199,35.670349,3.501200,6.785241,3.502626,0.000067,-0.000041,0.000000,-16.367455,3.588677,-0.001757,179.999974,0.000260,338.489918,0.000626,81.812576,28.853865
2.387120,21.496346,3.723528,43.713561,10.936405,0.224530,0.000000,0.870490,3.546519,0.025435,22.983752,2.419048,41.183984,3.502405,35.800323,3.495120,6.738940,3.497927,0.000027,-0.000042,0.000000,-16.367467,3.584647,-0.001884,179.999974,0.000242,323.962475,0.000597,81.354404,28.867437
2.421159,21.623317,3.710443,43.806062,10.562050,0.216477,0.000000,0.870511,3.540852,0.026634,23.129248,2.452638,41.274822,3.494824,35.919560,3.489237,6.696308,3.493480,0.000027,-0.000041,0.000000,-16.367447,3.580769,-0.001914,179.999974,0.000230,314.428581,0.000578,81.053340,28.875942
2.455469,21.749977,3.698235,43.892653,10.187693,0.208454,0.000000,0.870679,3.535709,0.029902,23.271246,2.486578,41.356255,3.487624,36.029799,3.483662,6.654329,3.489338,0.000022,-0.000041,0.000000,-16.367282,3.577378,-0.001915,179.999974,0.000214,NaN,Inf,80.606312,28.889752
2.478555,21.833682,3.690162,43.946414,9.938122,0.203106,0.000000,0.870904,3.532423,0.031701,23.362839,2.509359,41.405041,3.483031,36.097668,3.480174,6.626035,3.486876,0.000019,-0.000042,0.000000,-16.367051,3.575014,-0.001915,179.999974,0.000198,NaN,Inf,80.162453,28.900635
2.513508,21.957359,3.678849,44.020991,9.563768,0.195082,0.000000,0.871331,3.527659,0.034468,23.496578,2.543793,41.470428,3.476511,36.191190,3.475235,6.584094,3.483348,0.000018,-0.000042,0.000000,-16.366629,3.571413,-0.001914,179.999974,0.000182,NaN,Inf,79.720050,28.914804
2.548768,22.078769,3.668096,44.089501,9.189412,0.187058,0.000000,0.871878,3.523172,0.036478,23.624983,2.578427,41.527236,3.470264,36.276300,3.470720,6.541562,3.480157,0.000033,-0.000042,0.000000,-16.366082,3.568067,-0.001915,179.999974,0.000173,NaN,Inf,79.423695,28.929207
2.584504,22.196932,3.656879,44.150489,8.815055,0.179035,0.000000,0.872665,3.519143,0.040039,23.748052,2.613623,41.574948,3.464547,36.351675,3.466657,6.499930,3.477381,0.000060,-0.000041,0.000000,-16.365299,3.564789,-0.001961,179.999974,0.000158,NaN,Inf,78.975594,28.952337
2.608455,22.274012,3.648928,44.187652,8.565484,0.173686,0.000000,0.873221,3.516581,0.042221,23.827626,2.637275,41.602712,3.460830,36.397882,3.463989,6.472601,3.475761,0.000073,-0.000041,0.000000,-16.364743,3.562567,-0.002041,179.999974,0.000145,NaN,Inf,78.524783,28.981493
2.644578,22.387009,3.637712,44.238227,8.191129,0.165725,0.000000,0.874163,3.512993,0.043383,23.942894,2.672989,41.638605,3.455588,36.461440,3.460384,6.432652,3.473439,0.000083,-0.000040,0.000000,-16.363806,3.559164,-0.002271,179.999974,0.000132,NaN,Inf,78.066337,29.015159
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
