Torad 40 Ton Compressor Load Stand
C Bradshaw
Measured on:
Wednesday, September 5, 2018
1:20:32 PM

6
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min
-0.856642,19.583134,0.327681,490.925172,-0.899312,-1.256988,0.000000,376.060942,0.126136,-0.733053,19.554387,-250.001554,19.347723,0.398596,19.375947,0.220313,19.407837,0.257111,0.052226,-0.535313,-0.596687,0.577302,-2.636102,0.986220
-0.856799,19.583166,0.325096,516.335463,-0.897789,-1.259782,0.000000,376.559385,0.124421,-0.735683,19.554580,-250.001600,19.347793,0.398445,19.376131,0.220852,19.407888,0.256129,0.052263,-0.535841,-0.598550,0.577189,-2.635872,0.986208
-0.856971,19.583192,0.322603,440.104589,-0.897961,-1.261804,0.000000,376.496338,0.123600,-0.730845,19.554462,-250.001575,19.347647,0.397675,19.376017,0.219710,19.407921,0.255959,0.052210,-0.537723,-0.598394,0.577653,-2.635725,0.986203
-0.857092,19.583203,0.320454,414.694298,-0.900780,-1.261090,0.000000,376.428867,0.122505,-0.736930,19.554384,-250.001538,19.347579,0.397203,19.375644,0.220767,19.407933,0.258901,0.052230,-0.539261,-0.598610,0.576509,-2.635889,0.986205
-0.856997,19.583252,0.319890,363.873715,-0.898400,-1.261269,0.000000,377.865258,0.122219,-0.731606,19.554426,-250.001506,19.347273,0.397266,19.375821,0.221372,19.407998,0.257888,0.051698,-0.540798,-0.597137,0.576537,-2.635807,0.986224
-0.858487,19.583263,0.317985,414.694298,-0.896535,-1.259961,0.000000,376.441859,0.121975,-0.735947,19.554716,-250.001441,19.347241,0.397632,19.375885,0.221518,19.407901,0.257937,0.051833,-0.540224,-0.597197,0.576568,-2.635430,0.986211
-0.861205,19.583307,0.318167,389.284007,-0.889120,-1.259842,0.000000,376.371965,0.120608,-0.731667,19.554834,-250.001433,19.347324,0.397280,19.376095,0.221034,19.407901,0.258318,0.051912,-0.539834,-0.596799,0.577321,-2.635315,0.986218
-0.863590,19.583332,0.317033,414.694298,-0.891790,-1.260347,0.000000,377.242608,0.119706,-0.736391,19.554524,-250.001459,19.347332,0.397571,19.375906,0.220829,19.407907,0.258416,0.051914,-0.538457,-0.598577,0.578697,-2.635315,0.986219
-0.864724,19.583379,0.318757,440.104589,-0.895674,-1.260912,0.000000,376.983712,0.119285,-0.732103,19.554633,-250.001536,19.347159,0.396824,19.376034,0.220967,19.407962,0.258504,0.051904,-0.538113,-0.597835,0.579946,-2.635036,0.986225
-0.865029,19.583384,0.318577,465.514880,-0.895642,-1.261209,0.000000,376.441851,0.118002,-0.734683,19.555014,-250.001624,19.347476,0.398258,19.376333,0.220655,19.408235,0.256990,0.052272,-0.538297,-0.597769,0.581412,-2.635807,0.986219
-0.863108,19.583405,0.317811,490.925172,-0.899787,-1.262398,0.000000,375.555483,0.116566,-0.735001,19.554930,-250.001628,19.347379,0.399061,19.376258,0.221736,19.408160,0.256662,0.052295,-0.538847,-0.597468,0.582472,-2.634528,0.986213
-0.861553,19.583454,0.315941,440.104589,-0.902424,-1.262398,0.000000,376.441789,0.116676,-0.731906,19.554860,-250.001626,19.347215,0.399363,19.376016,0.221845,19.407858,0.256120,0.052283,-0.538939,-0.597379,0.583418,-2.634430,0.986212
-0.862179,19.583521,0.316261,389.284007,-0.900862,-1.262280,0.000000,376.383446,0.116047,-0.731449,19.554788,-250.001621,19.347068,0.398797,19.375973,0.222604,19.407825,0.255898,0.052230,-0.539697,-0.597794,0.582644,-2.634905,0.986216
-0.866109,19.583552,0.315433,414.694298,-0.893030,-1.262428,0.000000,377.944568,0.114449,-0.731827,19.554905,-250.001549,19.347472,0.397624,19.376217,0.222765,19.407917,0.255883,0.052222,-0.539582,-0.598104,0.583707,-2.634446,0.986207
-0.868822,19.583584,0.315471,440.104589,-0.892165,-1.263439,0.000000,376.994682,0.113927,-0.735972,19.554681,-250.001531,19.347390,0.397175,19.376371,0.225538,19.407764,0.254079,0.052241,-0.539697,-0.597651,0.583320,-2.634299,0.986209
-0.868802,19.583598,0.315145,465.514880,-0.899119,-1.262607,0.000000,376.794582,0.113767,-0.732521,19.554721,-250.001475,19.347370,0.397050,19.376659,0.225619,19.408078,0.253572,0.052199,-0.541716,-0.598268,0.583423,-2.633905,0.986212
-0.866881,19.583636,0.314976,465.514880,-0.899315,-1.261001,0.000000,376.385617,0.113833,-0.733292,19.554789,-250.001541,19.347159,0.396652,19.376976,0.225902,19.407968,0.251961,0.052195,-0.540637,-0.597330,0.584624,-2.634823,0.986218
