Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Monday, December 10, 2018
1:53:06 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.948800,75.937934,161.540434,163.925072,64.699049,56.522991,59.074447,12.739454,158.969525,1.336000,76.325965,55.678590,162.396764,161.242915,159.400785,160.079738,107.798532,159.136828,0.001891,-1.696460,32.000000,-237.268012,160.208362,0.307141,15.374709,0.680676,236617.823648,0.921543,30.733138,1.382603,2.940493,66.095339,66.087351,95.378055,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.945574,75.944450,161.600142,163.929729,64.661617,56.522993,59.297542,12.739332,158.978315,0.909628,76.335322,55.677073,162.399750,161.245102,159.399602,160.079706,107.803192,159.135920,0.001873,-1.698185,32.000000,-237.268286,160.263384,0.160441,15.355623,0.680360,236617.054526,1.042957,30.740114,1.377498,2.939697,66.089194,66.083639,95.379291,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.943740,75.949932,161.619902,163.933512,64.657578,56.522791,59.289466,12.740547,158.975297,0.834752,76.341419,55.675302,162.401771,161.246918,159.399581,160.079833,107.805523,159.137573,0.001871,-1.698727,32.000000,-237.267183,160.210178,0.140406,15.357330,0.681308,236616.443324,0.924193,30.746116,1.372508,2.939836,66.084009,66.079814,95.379604,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.940717,75.955845,161.607980,163.938186,64.691097,56.522692,51.373121,12.740007,158.965546,1.317710,76.351111,55.671848,162.406307,161.240979,159.400265,160.077103,107.809380,159.134285,0.001885,-1.701049,32.000000,-237.267625,160.176128,0.304252,15.355214,0.682445,236617.506190,0.920791,30.755729,1.367458,2.941095,66.079470,66.075520,95.380887,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.943856,75.961826,161.631603,163.941849,64.676803,56.522762,51.221305,12.741864,158.961330,1.334268,76.358636,55.675603,162.409890,161.238746,159.401759,160.076954,107.811347,159.134868,0.001851,-1.702803,32.000000,-237.265648,160.175272,0.307671,15.350629,0.682481,236618.500828,0.920960,30.762972,1.365837,2.941553,66.075653,66.072351,95.381973,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.946770,75.969312,161.611089,163.945208,64.638820,56.522718,59.254716,12.741507,158.960631,1.334925,76.364909,55.675352,162.414057,161.236167,159.405277,160.073304,107.813357,159.132356,0.001831,-1.702189,32.000000,-237.265956,160.177480,0.307675,15.336625,0.682571,236619.434146,1.062953,30.771786,1.360567,2.941497,66.070360,66.068250,95.383081,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.949791,75.973866,161.580293,163.947584,64.535322,56.522707,59.229305,12.742136,158.962266,1.335820,76.367697,55.675311,162.417087,161.238373,159.409428,160.071113,107.815978,159.135832,0.001829,-1.702165,32.000000,-237.265368,160.178168,0.308109,15.314216,0.682844,236621.014128,1.066054,30.774754,1.358850,2.941759,66.067539,66.065083,95.383716,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.951088,75.976753,161.608769,163.949459,64.537769,56.522757,59.245278,12.742221,158.944444,1.486460,76.370081,55.676026,162.419697,161.241469,159.414706,160.072858,107.819959,159.137352,0.001867,-1.699253,32.000000,-237.265163,160.131690,0.364116,15.291908,0.683358,236622.899183,0.921488,30.779441,1.355760,2.941230,66.064029,66.061623,95.384022,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.952876,75.978781,161.640264,163.950878,64.556461,56.522996,59.246894,12.742543,158.950159,2.025901,76.371593,55.678909,162.420931,161.241423,159.416512,160.073157,107.821162,159.137039,0.001882,-1.698093,32.000000,-237.264619,160.158727,0.542500,15.290077,0.684202,236622.715401,0.921838,30.781095,1.354633,2.940508,66.059895,66.057700,95.384228,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
54.953734,75.982848,161.646008,163.953032,64.533213,56.523219,52.343549,12.742076,158.953379,1.841465,76.379205,55.675696,162.422696,161.238578,159.418890,160.071026,107.821426,159.137306,0.001865,-1.701577,32.000000,-237.265279,160.124566,0.467578,15.272067,0.685306,236620.113658,0.921574,30.782737,1.351306,2.940957,66.055833,66.053928,95.384117,19.000000,60.000000,63.924051,41.319680,31.139241,22.000000
