Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Friday, November 2, 2018
5:10:55 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub
bar,C,bar,C,kg/s,kg/s,rpm,bar,bar,kg/s,C,bar,C,bar,C,bar,C,C,kg/s,kg/s,C,bar,bar,kg/s,W,,kW,,C,C
3.021740,40.545334,4.886271,62.409692,0.258611,0.345379,0.000000,0.869305,4.621028,0.050681,42.182098,3.054214,60.911314,4.627969,55.829320,4.563801,15.024692,4.575940,-0.000304,0.000110,0.000000,-16.368065,4.642607,0.001338,-40.001879,-0.001724,NaN,Inf,39.326601,-2.032049
3.002338,40.567773,4.855314,62.465822,0.254531,0.342520,0.000000,0.869268,4.591173,0.050203,42.210403,3.034623,60.958429,4.597724,55.922764,4.533728,14.827103,4.547160,-0.000337,0.000110,0.000000,-16.368102,4.613152,0.001811,-40.001909,-0.001715,NaN,Inf,39.465872,-2.036161
2.983733,40.592938,4.824392,62.521672,0.250133,0.339446,0.000000,0.869288,4.561838,0.049413,42.241066,3.015770,61.005684,4.568074,56.006317,4.504042,14.631158,4.518674,-0.000346,0.000110,0.000000,-16.368079,4.583713,0.002169,-40.001854,-0.001701,NaN,Inf,39.672696,-2.035931
2.971426,40.610077,4.804418,62.558459,0.247316,0.337449,0.000000,0.869306,4.542523,0.048822,42.261450,3.003245,61.037208,4.548574,56.062953,4.484559,14.501006,4.499807,-0.000346,0.000110,0.000000,-16.368060,4.564226,0.002162,-40.001799,-0.001688,NaN,Inf,39.874085,-2.031606
2.965832,40.635303,4.765531,62.613139,0.243065,0.333820,0.000000,0.869288,4.509478,0.050508,42.292476,3.000087,61.084326,4.514056,56.149267,4.451526,14.305040,4.469969,-0.000364,0.000110,0.000000,-16.368075,4.531835,0.001509,-40.001800,-0.001673,NaN,Inf,40.071684,-2.027867
2.985403,40.666845,4.725130,62.661429,0.233673,0.324700,0.000000,0.869225,4.479127,0.055097,42.331353,3.019153,61.126290,4.480609,56.231663,4.420900,14.111986,4.441951,-0.000394,0.000110,0.000000,-16.368137,4.501729,0.001455,-40.001812,-0.001664,NaN,Inf,40.203344,-2.025528
3.006201,40.709865,4.686705,62.706334,0.223670,0.313334,0.000000,0.869224,4.450971,0.056684,42.381849,3.039120,61.161955,4.449282,56.304248,4.392398,13.916820,4.415406,-0.000453,0.000110,0.000000,-16.368127,4.474940,0.001396,-40.001662,-0.001625,NaN,Inf,40.280750,-2.032530
3.020594,40.743473,4.662447,62.734860,0.217176,0.305819,0.000000,0.869256,4.433144,0.056849,42.419116,3.053000,61.183032,4.429293,56.344357,4.374252,13.774031,4.398544,-0.000498,0.000110,0.000000,-16.368089,4.458061,0.001396,-40.001655,-0.001529,NaN,Inf,40.130081,-2.031011
3.043025,40.797234,4.627674,62.774789,0.206600,0.294753,0.000000,0.869312,4.407685,0.057997,42.474100,3.074761,61.210805,4.400602,56.391452,4.348406,13.553400,4.374458,-0.000565,0.000110,0.000000,-16.368027,4.433989,0.001339,-40.001650,-0.001426,NaN,Inf,39.980475,-2.018155
3.066057,40.851321,4.594097,62.810999,0.195181,0.283902,0.000000,0.869273,4.383112,0.058654,42.528114,3.097155,61.235262,4.372980,56.425534,4.323621,13.330995,4.351533,-0.000635,0.000110,0.000000,-16.368055,4.410720,0.001315,-40.001697,-0.001360,NaN,Inf,39.881377,-1.991607
3.089708,40.904134,4.560940,62.841609,0.184040,0.273114,0.000000,0.869247,4.359424,0.059440,42.577903,3.120254,61.254539,4.346277,56.443086,4.299663,13.114852,4.329216,-0.000713,0.000110,0.000000,-16.368072,4.388157,0.001127,-40.001615,-0.001265,NaN,Inf,39.729286,-1.937607
3.105775,40.937767,4.540095,62.859012,0.176684,0.266012,0.000000,0.869230,4.344213,0.060334,42.608891,3.135827,61.265031,4.329083,56.448136,4.284282,12.974639,4.314931,-0.000773,0.000110,0.000000,-16.368084,4.373445,0.001127,-40.001539,-0.001174,NaN,Inf,39.573216,-1.874447
3.130307,40.985812,4.507930,62.880496,0.165911,0.255377,0.000000,0.869227,4.321101,0.057807,42.652640,3.159558,61.277518,4.303183,56.447244,4.260870,12.773292,4.293190,-0.000865,0.000110,0.000000,-16.368076,4.350426,0.001127,-40.001530,-0.001087,NaN,Inf,39.411489,-1.813946
3.154910,41.030318,4.475564,62.894255,0.155309,0.244681,0.000000,0.869191,4.298139,0.056559,42.690875,3.183347,61.284979,4.277198,56.436144,4.237600,12.585035,4.271394,-0.000901,0.000110,0.000000,-16.368111,4.327586,0.000785,-40.001387,-0.001032,NaN,Inf,39.300088,-1.773679
