Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Tuesday, December 11, 2018
5:40:56 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,
54.898315,75.827796,161.266440,161.957410,47.052525,56.515479,51.609931,12.769423,158.494495,1.067026,76.464647,55.547409,160.316394,160.524242,156.774107,159.436959,75.350146,158.725947,0.001842,-1.797052,32.000000,-237.238163,159.524978,0.326149,15.134127,0.691037,271567.287124,1.039714,30.644593,33.640282,2.937139,67.061017,61.516152,94.116122,13.000000,47.519091,63.920000,44.199820,11.759494,19.223912
54.894837,75.843406,161.278779,161.974146,47.042758,56.515419,51.913143,12.770780,158.486553,1.122823,76.481022,55.548196,160.332740,160.516643,156.792307,159.431598,75.343928,158.721767,0.001843,-1.797048,32.000000,-237.236878,159.504940,0.347925,15.137030,0.691543,271587.113812,0.921139,30.661252,33.642719,2.937385,67.054332,61.510855,94.121846,13.000000,47.523344,63.920000,44.219204,11.759494,19.227636
54.895357,75.862374,161.251583,161.994023,47.048597,56.511078,59.107847,12.770797,158.467379,1.597421,76.502449,55.551681,160.353897,160.502676,156.816911,159.420740,75.337646,158.707573,0.001845,-1.797036,32.000000,-237.236669,159.451641,0.496986,15.139574,0.691415,271608.841187,1.058492,30.684466,33.644096,2.937548,67.045603,61.505695,94.128331,13.000000,47.539301,63.920000,44.235776,11.759494,19.232182
54.894946,75.878566,161.262387,162.009346,46.892205,56.506970,59.293139,12.772280,158.460977,1.619615,76.521022,55.552855,160.371406,160.493847,156.835985,159.413912,75.331764,158.698837,0.001854,-1.797028,32.000000,-237.235277,159.441918,0.499804,15.133483,0.691406,271628.037701,1.052423,30.703416,33.648514,2.937959,67.037660,61.501875,94.132639,13.000000,47.547162,63.920000,44.251110,11.759494,19.236080
54.893994,75.897956,161.315790,162.026988,46.931604,56.507028,52.474565,12.773095,158.451441,1.619679,76.541467,55.549857,160.390338,160.485316,156.858095,159.402599,75.322614,158.689087,0.001820,-1.797015,32.000000,-237.234520,159.435705,0.499820,15.136433,0.691161,271627.600935,0.924285,30.721886,33.648683,2.937436,67.027833,61.496301,94.134681,13.000000,47.577558,63.920000,44.270253,11.759494,19.240801
54.891639,75.913505,161.295671,162.041348,46.975906,56.507081,59.116014,12.772928,158.443447,1.619752,76.558347,55.549919,160.406701,160.476007,156.875859,159.392666,75.316354,158.679078,0.001815,-1.796988,32.000000,-237.234594,159.428881,0.500176,15.137605,0.691465,271626.083814,0.921375,30.738472,33.650801,2.937655,67.019757,61.492863,94.135735,13.000000,47.585751,63.920000,44.287831,11.759494,19.244709
54.887289,75.932127,161.248120,162.058898,46.990035,56.503144,51.933962,12.770599,158.423051,1.858203,76.579040,55.552033,160.424907,160.459027,156.899192,159.383503,75.308130,158.663167,0.001814,-1.795478,32.000000,-237.236689,159.377253,0.586595,15.132348,0.691595,271650.786604,1.041171,30.758778,33.655752,2.938678,67.009408,61.488407,94.135666,13.000000,47.566233,63.920000,44.311234,11.759494,19.249416
54.887641,75.947646,161.208892,162.073989,46.914561,56.491218,52.168412,12.769844,158.408419,2.162286,76.594885,55.551131,160.439754,160.454708,156.918138,159.377349,75.300513,158.655539,0.001835,-1.792587,32.000000,-237.237427,159.350483,0.676174,15.139814,0.691523,271670.156750,0.924280,30.776589,33.657700,2.938438,67.000444,61.484252,94.135357,13.000000,47.557578,63.920000,44.326093,11.759494,19.253381
54.886721,75.966442,161.203282,162.091491,46.932428,56.491297,59.144332,12.769317,158.403312,1.657393,76.613849,55.545936,160.457840,160.447930,156.939858,159.369276,75.291186,158.647646,0.001833,-1.792545,32.000000,-237.238069,159.387825,0.506628,15.129960,0.691619,271674.818892,1.052169,30.799392,33.659069,2.937804,66.989776,61.479481,94.133996,13.000000,47.535093,63.920000,44.346987,11.759494,19.258210
54.881085,75.981633,161.162995,162.106521,46.968074,56.491207,59.192185,12.769302,158.394425,1.621787,76.629325,55.539026,160.473753,160.440021,156.956937,159.363364,75.284171,158.639625,0.001828,-1.792532,32.000000,-237.238212,159.381763,0.499830,15.134115,0.691000,271637.025803,1.047253,30.814573,33.663399,2.937071,66.981125,61.476499,94.132482,13.000000,47.544218,63.920000,44.368713,11.759494,19.262227
54.877074,75.998979,161.168111,162.125668,46.990381,56.491399,52.750610,12.770417,158.387444,1.621843,76.648550,55.529124,160.493282,160.436931,156.977648,159.357030,75.276691,158.627936,0.001829,-1.792537,32.000000,-237.237082,159.373706,0.499915,15.132011,0.691478,271661.779091,0.923795,30.834252,33.669326,2.937018,66.971606,61.472140,94.130857,13.000000,47.525529,63.920000,44.393541,11.759494,19.266954
