Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Toil,Tbox,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,LG,MG,SG,LL,ML,SL,Speed2,Power2,eta_is_2,VFD_out,Kc_LG,Ti_LG,Td_LG,Kc_MG,Ti_MG,Td_MG,Kc_SG,Ti_SG,Td_SG,Kc_LL,Ti_LL,Td_LL,Kc_ML,Ti_ML,Td_ML,Kc_SL,Ti_SL,Td_SL,Kc_WVB,Ti_WVB,Td_WVB,Kc_WVI,Ti_WVI,Td_WVI,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,,,Hz,kW,,Hz,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,,min,min,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
49.679448,49.184188,199.139473,161.64895,202.814905,189.706136,168.823528,14.421322,189.518741,18.000052,48.635104,49.898377,160.400482,200.673469,158.421426,191.864951,115.705789,183.710324,-0.0689041,0.037331,78.847208,64.70615,183.505412,15.569753,40.64679713,1.047733818,706939.7576,0.876295,9.248378,3.466669,4.008463,0.064169,0.059669,32,119.890463,32,32,32,32,32,32,70.037801,68.222247,105.297502,100,35.934858,43.037975,49.927856,53.101266,60.746835,58.630662,60.708861,168.823529,115.298199,,169.218183,0.377,0.879,0,0.577,0.779,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.8,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,11.53.09-Tue.03.10.2020.csv
49.722716,48.973849,199.090071,161.474215,202.993853,189.97006,168.83849,14.422604,189.621942,17.123868,48.368896,49.921107,160.234839,200.640907,158.270833,191.903586,115.717882,183.695096,-0.068623345,0.036417,84.244203,64.749277,183.989822,12.950511,40.63914388,1.047685818,707295.2127,0.876091,8.993655,3.445348,4.004015,0.064272,0.060012,32,120.520462,32,32,32,32,32,32,70.125215,67.979972,105.429606,100,35.786017,43.037975,50.092289,53.101266,60.746835,58.596308,60.708861,168.838489,115.286426,,169.210854,0.377,0.879,0,0.577,0.779,0,0.091203,0.879,0,-0.153,0.4,0,-0.253,0.8,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,11.56.23-Tue.03.10.2020.csv
49.763061,49.125593,199.399312,156.453111,158.000865,163.108915,148.609546,14.312323,190.424348,15.859036,40.634713,49.891558,155.15023,201.774942,152.954234,192.799703,107.218437,186.424022,-0.067500327,0.030951,88.983406,66.441149,185.75419,-0.211425,40.71598094,0.898645818,634036.8088,0.854204,9.102628,12.99508,4.007246,0.058791,0.052261,32,108.027789,32,32,32,32,32,32,70.140045,67.742233,98.981555,100,41.029649,39.037975,40.221195,43.890581,56.012658,57.739864,40.001409,148.609545,123.324026,,150.510202,0.377,0.879,0,0.377,0.879,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.315308,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,new oil line,1,75TonScrew,1,16.38.37-Tue.03.17.2020.csv
49.717694,48.995187,199.374659,163.4703,165.756552,164.266578,148.734334,14.320294,190.815096,16.223149,48.739878,49.710993,161.823332,201.838689,159.683603,192.767049,108.882126,187.212763,-0.065956177,0.031063,89.302131,65.792555,185.79747,5.762339,36.55625188,1.008318545,633154.0164,0.860079,9.018673,11.631955,4.010176,0.058141,0.051442,32,107.216058,32,32,32,32,32,32,69.665974,64.478813,102.121568,63.281806,29.015932,43.050633,43.322847,36.509402,43.531646,41.390627,41.903018,148.734334,113.801089,,149.397257,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,10.39.42-Mon.03.23.2020.csv
49.808202,49.03128,199.396259,163.742285,165.897316,164.366803,148.727966,14.320579,190.595985,16.373413,48.743145,49.734061,162.140685,201.813935,160.029233,192.618495,108.551837,187.113658,-0.064973537,0.031123,89.541215,65.917136,185.586429,7.096741,36.55649044,1.007490909,634541.8528,0.858973,8.961297,11.925622,4.003369,0.058184,0.051233,32,110.642176,32,32,32,32,32,32,69.707855,64.864549,102.094788,63.281806,29.342733,43.050633,43.322898,36.26793,43.531646,41.351892,37.070683,148.727966,113.93094,,149.285718,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,11.06.52-Mon.03.23.2020.csv
49.856198,48.724521,199.157074,162.241951,190.607329,177.53573,158.78166,14.322339,189.663895,16.335905,48.236168,49.86616,160.657019,201.38704,158.49825,191.664566,109.177083,185.172483,-0.066517686,0.030949,97.223706,65.571034,184.73649,7.113961,38.92306688,1.019296,682432.5357,0.867375,8.602637,10.554716,3.994591,0.060793,0.05377,32,112.630344,32,32,32,32,32,32,69.715066,65.067832,102.008275,63.281806,32.763622,43.050633,43.322898,47.551299,43.531646,50.126582,46.492965,158.781661,115.108773,,159.190138,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,11.43.26-Mon.03.23.2020.csv
49.749685,49.059872,199.137954,161.400178,195.56341,189.699345,168.78256,14.16234,189.076041,16.418176,48.818939,49.872611,159.862406,201.227969,157.668195,190.998203,113.580793,179.734283,-0.069605986,0.03063,80.47286,64.70402,183.976223,7.942266,41.19081863,1.032138182,714064.1499,0.874784,9.04747,4.041253,4.002741,0.063712,0.056963,32,110.197488,32,32,32,32,32,32,69.09067,64.960854,105.12555,100,32.922954,45.822785,45.56962,41.652015,80.734177,92.073371,76.363495,168.78256,116.035233,,169.371804,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.15.00-Wed.03.25.2020.csv
49.704235,49.033675,199.232143,160.589855,214.045837,202.781867,178.809278,14.151947,188.422026,16.24502,48.654283,49.913852,159.110379,201.110697,156.857282,190.234232,111.923294,176.873717,-0.067219573,0.030685,86.740295,63.983102,183.434298,6.424071,42.93957938,1.059834182,769625.2116,0.883515,9.071009,4.573176,4.008311,0.066807,0.060602,32,112.456235,32,32,32,32,32,32,69.127032,66.282903,105.071143,100,36.47317,45.822785,47.56962,53.08241,85.734177,91.122152,75.723238,178.809279,117.554746,,179.44795,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,13.54.11-Wed.03.25.2020.csv
49.734641,49.333123,199.287178,158.713233,231.049853,216.525776,188.875928,14.137664,188.025785,16.4891,48.983336,49.990528,157.341093,201.199954,155.009012,189.780879,110.625981,177.481476,-0.065956177,0.030913,90.164254,63.380003,182.876489,8.058339,44.68639175,1.087696,827966.8432,0.893235,9.340383,6.117129,4.00698,0.072215,0.064452,32,111.426175,32,32,32,32,32,32,69.102024,67.154137,103.234283,100,40.540056,45.822785,51.56962,66.807986,81.253165,70.379747,85.167522,188.875927,117.358379,,189.181537,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,15.02.18-Wed.03.25.2020.csv
49.812245,48.69103,199.303978,157.057582,242.400979,231.027262,198.915986,14.131844,187.399533,16.398609,48.398974,50.205456,155.692626,201.000374,153.258493,189.075354,110.270987,173.49756,-0.063429387,0.030588,90.796229,62.917153,182.32855,6.591284,47.78783213,1.081706182,882763.3369,0.901817,8.62256,4.874484,4.001155,0.074597,0.067074,32,111.251732,32,32,32,32,32,32,69.22977,67.789513,102.790789,100,44.566089,45.822785,56.56962,74.911004,86.253165,100.613618,79.56967,198.915986,118.687569,,199.348872,0.377,0.879,0,0.377,0.679,0,0.091203,0.879,0,-0.153,0.4,0,-0.153,0.15,0,-0.287,0.5,0,0.15,1.2,0,-0.0561,0.37,0,,1,75TonScrew,1,15.30.17-Wed.03.25.2020.csv
