Torad 40-Ton Compressor Load Stand
Scroll
J Singleton
Measured on:
Monday, December 17, 2018
2:03:20 PM
Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F,,Hz,,,,,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
54.793803,64.988064,138.920957,141.349494,43.057705,53.515216,54.895369,12.707392,135.555732,0.937380,64.933381,55.271987,140.127388,137.664496,137.718553,136.626601,79.661799,136.170413,0.002018,-1.910209,32.000000,-237.299417,136.861792,0.268913,12.166356,0.681557,245049.212575,0.917941,19.945232,19.052291,2.535317,68.158609,71.748364,87.760470,24.800000,57.472253,60.000000,52.822997,19.000000,12.554597,,1,Scroll,1,20.02.30-Fri.02.01.2019.csv
0.327900,0.389966,0.833337,0.848507,0.259311,0.319893,0.329360,0.076245,0.812846,0.005012,0.389757,0.330838,0.841133,0.825388,0.826486,0.819311,0.478475,0.816518,0.000012,-0.011462,0.192000,-1.423795,0.820550,0.001404,0.072907,0.004092,1464.625837,0.005506,0.120437,0.113575,0.015250,0.408469,0.430698,0.524388,0.148800,0.347486,0.360000,0.317445,0.114000,0.075191,,1,Scroll,1,20.02.49-Fri.02.01.2019.csv
54.784843,65.373309,138.943143,143.441778,41.144099,57.673333,59.786843,12.658815,135.002671,1.268633,65.367028,55.282431,142.209981,137.314035,139.820160,136.163650,81.781059,135.557125,0.001968,-1.171241,32.000000,-237.348213,136.369738,0.367321,13.606073,0.657760,262037.371461,0.909429,20.340047,16.636739,2.536193,68.408505,73.579421,87.717277,2.185945,55.256336,66.596150,51.382815,22.892780,16.643834,,1,Scroll,1,21.44.28-Sat.02.02.2019.csv
60.179322,70.008830,138.902742,141.537395,47.034888,63.229789,59.779411,12.667615,134.635118,1.532909,70.119737,60.791932,140.365909,136.959878,138.242931,135.749625,83.717654,135.004386,0.001886,0.013830,32.000000,-237.339473,135.885599,0.392152,13.690993,0.643326,286923.780107,0.909671,19.968959,14.429861,2.308165,67.950454,75.281217,86.707036,9.740000,54.176231,65.590000,61.122624,24.500000,15.709827,,1,Scroll,1,12.15.23-Tue.02.05.2019.csv
49.780040,60.013009,138.863140,145.513043,31.280571,52.462492,59.788723,12.664663,135.529157,1.420332,59.798329,50.303413,144.218215,137.762449,141.694014,136.730660,84.082907,136.154837,0.001942,-1.873485,32.000000,-237.342525,136.827860,0.345648,13.594869,0.659470,233930.721889,0.906388,19.973056,14.623124,2.789541,68.492397,75.750478,87.206379,10.100000,53.360145,52.496058,55.956585,24.757679,13.155864,,1,Scroll,1,15.14.37-Tue.02.05.2019.csv
40.821312,50.063107,139.081699,151.796972,43.153052,43.076517,59.780784,12.699335,136.475957,1.225206,48.981113,41.359533,150.230320,138.495447,146.968439,137.630666,82.972080,137.093559,0.002032,0.015474,32.000000,-237.307757,137.712325,0.375640,13.558210,0.648889,189995.203774,0.900551,20.021991,16.185433,3.407125,68.646402,74.936773,88.045277,10.000000,47.768627,45.700000,50.122515,23.322962,12.435371,,1,Scroll,1,18.57.09-Wed.02.06.2019.csv
33.159305,39.958375,138.882562,161.194097,50.872377,35.240316,59.795190,12.781648,136.708030,1.363611,37.418696,33.668631,159.163959,138.874722,155.010656,137.973547,85.283930,137.569901,0.002023,-1.772000,32.000000,-237.225317,138.077324,0.312344,13.509858,0.622173,151507.976823,0.897950,19.910043,14.102384,4.188650,68.791118,77.178713,88.550688,14.371387,56.282523,36.467611,43.250067,22.800000,13.408557,,1,Scroll,1,12.52.54-Thu.02.07.2019.csv
0.099365,0.118247,0.418426,0.483434,0.143420,0.105735,0.179348,0.038337,0.411154,0.004307,0.109327,0.100866,0.476972,0.417865,0.464738,0.415119,0.255624,0.413875,0.000006,-0.005571,0.096000,-0.711683,0.415924,0.001011,0.040646,0.001867,454.576819,0.002693,0.058004,0.043123,0.012628,0.206756,0.231522,0.265632,0.043114,0.170137,0.109403,0.127216,0.068400,0.039943,,1,Scroll,1,12.53.05-Thu.02.07.2019.csv
26.656168,30.132799,138.900595,175.291018,40.464519,28.125634,59.798047,13.001927,136.970277,1.185536,28.099212,27.143407,172.301055,139.245049,166.200189,138.281040,82.707151,137.976855,0.002067,-1.862522,32.000000,-237.005064,138.353170,0.319092,13.404815,0.576902,120463.279851,0.882218,20.085376,16.873528,5.211203,69.037698,74.885698,89.412705,0.000000,38.238987,29.506329,41.843723,18.000000,18.949065,,1,Scroll,1,15.00.55-Thu.02.07.2019.csv
15.651008,17.669351,81.570523,103.157982,23.569471,16.508572,35.101853,7.629244,80.453487,0.822614,16.344194,15.933783,101.424119,81.814066,97.890778,81.224702,48.763571,81.076417,0.001216,-1.096384,18.784000,-139.124874,81.285308,0.186996,7.877551,0.338233,70587.214308,0.517649,11.770524,9.730963,3.059953,40.529256,44.170881,52.500839,0.000000,23.014825,17.320215,24.538985,10.566000,11.130938,,1,Scroll,1,15.27.54-Thu.02.07.2019.csv
