49.70778,60.025283,173.232289,154.246198,117.309996,112.91003,54.4902,14.159905,172.4928,7.483267,60.112689,49.734497,151.925014,173.829406,150.394021,171.79218,110.986396,170.027854,-0.07222,-1.793447,32.02574,-235.890039,157.962801,5.243921,5.210199,-11.454614,32.742028,1692.708713,4.516566,446506.3206,1.663361,20.062056,2.749108,3.485056,0.08094,0.061241,110.530977,90.268895,32,32,32,32,-12932.18615,32,69.144324,76.409028,97.947299,89.90277,37.736018,28.860759,67.783282,60.253165,20.253165,34.699382,26.518987,1667.999268,33.928039,0.693568,218.925997,0.377,0.879,0,0.377,0.879,0,0.101203,0.879,0,-0.153,0.4,0,-0.755798,0.3734,0,-1.130389,0.3481,0,0.1,0.8,0,-0.011529,0.06251,0,First Test,40TonSpool,1,1,21.53.19-Thu.08.27.2020.csv
60.174557,70.044993,198.857879,153.249006,131.762327,134.656922,54.352931,14.204731,195.156045,5.682755,70.224513,61.097209,160.530242,199.925569,158.643573,195.31983,119.913371,193.258807,-0.06277,-1.888165,32.02574,-235.846845,183.127323,5.983034,38.799102,14.01179,36.980199,1916.460398,1.062035,517944.8692,0.914730107,20.014642,2.8717,3.304734,0.073444,0.052021,118.31341,97.900104,32,32,32,32,565.479508,32,69.89725,79.003555,103.412431,106.986017,35.841287,30.886076,42.402599,44.147775,24.506329,32.017174,33.298826,1661.423219,38.657115,0.694541,75.396805,0.377,0.879,0,0.3,0.809,0,0.09351,0.6509,0,-0.153,0.4,0,-0.02,0.8,0,-0.010385,0.238324,0,0.05,0.8,0,-0.011,0.222289,0,Better,1,40TonSpool,1,23.51.31-Tue.09.01.2020.csv
40.848508,75.089943,199.507537,153.933127,79.987637,84.095486,54.386561,14.202548,197.629168,5.31649,75.24747,41.111571,192.771538,201.273196,189.939917,198.51242,120.25497,197.611927,-0.064033,-1.90011,32.02574,-235.848832,180.075078,5.07452,36.495816,13.299688,34.711759,1798.245979,0.937745,339988.8672,0.881470843,45.014705,4.136981,4.884257,0.073227,0.051669,134.311897,110.690831,32,32,32,32,-4049.164185,32,70.025473,76.59463,108.39958,100,18.957035,30.886076,10.171957,24.738333,24.506329,14.888707,18.809072,1663.864746,36.488213,0.653042,75.355625,0.377,0.879,0,0.3,0.809,0,0.071057,0.7415,0,-0.153,0.4,0,-0.03,0.8,0,-0.028092,0.25,0,0.05,0.8,0,-0.010095,0.2702,0,Better,1,40TonSpool,1,02.00.18-Wed.09.02.2020.csv
33.088929,79.907399,199.0316,173.624403,67.151981,67.801162,54.456101,14.210777,186.09768,8.239704,80.084,33.094948,210.660212,200.909378,206.607607,198.688278,121.063794,197.893111,-0.065517,-1.707302,32.02574,-235.840872,170.857051,7.735931,35.229606,13.171079,33.766965,1747.004429,0.907308,281650.4777,0.896838251,59.953724,3.431416,6.014982,0.075747,0.054072,151.758588,125.307551,32,32,32,32,-10677.45637,32,69.951606,74.622793,112.954041,114.8,14.345497,25.886076,26.35443,16.906177,20.506329,10.385612,27.645652,1666.864619,35.278018,0.63835,75.318403,0.377,0.879,0,0.3,0.809,0,0.053,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.015,0.23,0,0.05,0.8,0,-0.006,0.7,0,Better,1,40TonSpool,1,15.24.53-Wed.09.02.2020.csv
Round 2 Starting with rerouted oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.826288,60.293867,161.180195,147.826203,111.689455,115.441139,54.513024,14.404551,159.14732,3.87787,60.403973,50.4565,145.948022,161.324287,143.872582,158.312907,105.164799,155.995246,-0.069755,-1.263741,32.02574,-235.646822,158.710421,3.671095,31.994422,12.145979,60.181921,3110.303492,1.22518,469361.8693,0.938657897,20.206104,2.645735,3.234833,0.075762,0.053303,114.234536,88.46159,32,32,32,32,32,32,69.638056,71.357148,93.404564,100,46.199538,41.443038,60.608546,55.996075,23.746835,27.887441,45.425757,1670.005105,32.252371,0.013546,75.403656,0.377,0.879,0,0.3,0.809,0,0.093755,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.015,0.23,0,0.05,0.8,0,-0.013,0.28,0,,1,40TonSpool,1,16.44.52-Fri.10.23.2020.csv
49.710992,60.452305,173.23493,154.139501,109.748082,113.687271,54.481388,14.405333,171.587462,4.024608,60.508661,50.285814,152.138135,173.778964,150.08648,170.843426,110.666192,168.775731,-0.068975,-2.262826,32.02574,-235.646117,167.408457,3.81025,33.766886,12.605306,64.053604,3312.32531,0.049961,450876.1165,0.927662886,20.487104,2.55748,3.484949,0.076043,0.053243,117.068493,90.443005,32,32,32,32,32,32,69.816169,71.860041,97.12817,100,39.826296,41.443038,59.608546,44.071821,23.746835,27.887441,52.798398,1668.717808,33.904984,0.014215,75.443978,0.377,0.879,0,0.3,0.809,0,0.085101,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.015,0.23,0,0.05,0.8,0,-0.013,0.28,0,,1,40TonSpool,1,17.24.40-Fri.10.23.2020.csv
49.757905,60.137997,186.485989,160.337579,113.585121,112.224829,54.423294,14.407764,185.121382,4.301373,60.080453,50.292492,158.278203,187.46111,156.408131,184.436134,116.178297,182.529821,-0.069491,-2.232197,32.02574,-235.644109,178.503425,4.075896,35.760232,13.183582,67.215779,3479.451616,2.063462,433055.3029,0.91500816,20.133124,2.538085,3.747957,0.075968,0.053182,120.544669,92.512033,32,32,32,32,32,32,70.146115,72.404913,100.871274,100,37.233645,41.443038,59.608546,29.611543,23.746835,28.887441,59.93862,1666.073557,35.788621,0.014864,75.318828,0.377,0.879,0,0.3,0.809,0,0.085101,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.015,0.23,0,0.05,0.8,0,-0.013,0.25,0,,1,40TonSpool,1,17.57.00-Fri.10.23.2020.csv
49.853817,60.080732,214.001007,173.865565,96.94137,108.787243,54.341302,14.407879,212.983425,4.74919,59.985126,50.13383,171.513523,215.754737,169.667027,212.772963,126.66844,211.025103,-0.069068,-2.104093,32.02574,-235.643837,206.031186,4.514347,39.936984,14.473561,75.392462,3908.800089,0.244484,398304.0058,0.886262707,19.975156,2.504692,4.292433,0.075684,0.052776,128.278185,97.101056,32,32,32,32,32,32,70.246958,73.173695,108.004765,100,32.375537,41.443038,46.272015,16.495783,23.746835,29.887441,64.283832,1662.324365,39.732937,0.01592,75.421847,0.377,0.879,0,0.3,0.809,0,0.085101,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.013,0.23,0,0.05,0.8,0,-0.013,0.25,0,,1,40TonSpool,1,18.34.23-Fri.10.23.2020.csv
50.075716,59.898296,198.731033,166.019636,110.707771,111.376654,54.376189,14.408551,197.425609,4.162449,60.076344,50.432088,163.679481,200.073373,161.844731,197.025426,120.72163,195.233473,-0.066511,-2.197939,32.02574,-235.642971,191.0669,3.945809,37.560123,13.759346,72.334253,3747.535368,0.358411,419760.4076,0.901916767,19.540491,2.802983,3.968177,0.07548,0.052654,124.96773,94.836969,32,32,32,32,32,32,70.310957,73.4527,103.868243,100,35.408913,41.443038,46.272015,35.45434,26.746835,34.887441,27.322909,1663.795858,37.518972,0.015386,75.382206,0.377,0.879,0,0.3,0.809,0,0.085101,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.013,0.23,0,0.05,0.8,0,-0.013,0.25,0,,1,40TonSpool,1,18.51.50-Fri.10.23.2020.csv
51.595213,62.270172,199.636947,166.594674,113.665682,114.563674,54.366093,14.410457,198.263666,4.175363,62.2406,51.99403,164.441612,200.921896,162.286535,197.738016,121.309779,195.867019,-0.066522,-2.302573,32.02574,-235.641165,191.84874,3.956563,37.94053,13.822447,71.558389,3708.126447,0.505886,432726.5347,0.903543039,20.383067,2.442845,3.869016,0.075334,0.052741,125.005249,95.815482,32,32,32,32,32,32,70.380878,73.294483,104.730385,100,35.342159,41.443038,46.272015,39.639139,26.746835,34.887441,29.733397,1663.727262,37.850626,0.015572,75.390152,0.377,0.879,0,0.3,0.809,0,0.085101,0.6509,0,-0.153,0.4,0,-0.03,0.8,0,-0.013,0.23,0,0.05,0.8,0,-0.013,0.25,0,,1,40TonSpool,1,19.06.48-Fri.10.23.2020.csv
