Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,x_acc,y_acc,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tamb,Twi,Twe,Bypass Position,Water Pump Speed,MG,SG,ML,SL,Speed2,Power2,,,,,
psia,F,psia,F,lbm/min,lbm/min,Hz,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,g,g,F,F,F,F,F,F,F,F,F,F,F,,Hz,,,,,Hz,kW,Purpose of Test, Test Request Number, Build Number, Steady (1 yes 0 no),Raw Data File
49.777968,59.779019,185.935782,166.428837,113.547985,95.389537,29.018479,14.219076,182.429648,6.181824,55.262863,50.694349,165.579813,187.454631,162.987117,182.818005,117.241632,181.374039,-0.000748,-1.585485,32,-235.789456,182.636165,-0.26261,31.013921,0.676193,365663.3882,0.955356,19.742807,1.023981,3.735415,0.074769,0.070724,199.93812,32,216.838676,191.853781,193.880806,176.956765,32,170.521447,72.290675,67.12034,105.68758,55.974684,57.373194,22.022113,54.788138,31.735441,54.721222,59.637968,43.88845,40-100,1,Spool-0081,1,22.12.42-Mon.05.13.2019.csv
49.753417,59.662515,214.114955,183.240698,109.313424,92.241259,28.934768,14.227715,211.804738,2.620729,58.002597,50.478643,182.302823,216.100491,179.460996,211.855673,127.911075,210.620614,-0.000733,-1.419963,32,-235.780886,211.919843,-0.179057,34.301605,0.654674,335058.5341,0.926706,19.649403,1.120819,4.303787,0.069398,0.07067,224.262501,32,237.64911,209.324151,196.704903,196.600544,32,188.797811,72.382889,74.247427,113.377958,28.240506,48.857004,20.302254,54.242686,40.314385,41.928519,59.605265,47.409606,40-100,1,Spool-0081,1,23.58.14-Mon.05.13.2019.csv
37.735994,45.808419,161.831364,137.814453,81.728917,69.999546,21.935018,10.78522,160.092445,4.018937,42.773346,38.328779,137.134467,163.472934,135.072507,160.185515,96.800751,159.288092,-0.000556,-1.079851,24.256,-178.721205,160.127956,-0.122647,25.985864,0.496991,255230.2295,0.704144,15.454268,0.880115,3.250743,0.052875,0.054354,168.705826,24.256,178.962538,157.306411,147.74663,148.072437,24.256,142.00608,54.846379,56.185817,85.856685,21.406304,37.164169,15.389109,41.056071,30.558304,33.367095,45.182754,35.935231,40-100,1,Spool-0081,1,00.17.20-Tue.05.14.2019.csv
25.080683,30.280642,107.583945,91.01158,53.921623,46.633758,14.584511,7.171567,106.296174,2.947695,27.787383,25.490716,90.603924,108.695659,89.207966,106.385348,64.33299,105.795959,-0.000371,-0.71772,16.128,-118.832804,106.309222,-0.07642,17.282456,0.330755,169877.1358,0.468888,10.1099,0.574711,2.162005,0.035613,0.036563,110.217062,16.128,117.949584,104.354165,104.581881,97.594177,16.128,93.841108,36.487437,37.313763,57.153921,14.233215,24.728293,10.232336,27.375853,20.31845,22.609312,30.043118,23.906354,40-100,1,Spool-0081,1,00.30.00-Tue.05.14.2019.csv
49.770815,60.133139,138.89312,144.228568,108.971882,98.732744,29.162451,14.210897,134.792258,2.239752,59.456512,50.662351,143.398206,139.702766,141.128171,134.768298,96.7118,133.127492,-0.000707,-1.924825,32,-235.797442,135.231312,-0.212568,24.517759,0.688686,416744.4524,0.985037,20.102809,0.519741,2.790616,0.066702,0.070026,167.924141,32,183.663506,168.188235,170.089505,150.749565,32,146.275511,72.111968,61.822759,91.838355,10,44.164031,78.987342,55.178418,33.810127,27.659978,59.608067,37.208983,,1,Spool-0081,1,16.46.19-Tue.05.14.2019.csv
49.776828,60.13744,161.240038,155.857791,108.63731,97.211391,29.093528,14.208857,157.738916,3.062961,58.866799,50.668013,154.952667,162.508902,152.595816,157.868621,107.221523,156.472441,-0.000707,-1.758561,32,-235.799585,158.169338,-0.149166,27.597645,0.690849,391268.9206,0.972038,20.100175,0.796329,3.239272,0.094695,0.088567,183.815825,32,201.475567,181.741337,177.820543,163.956904,32,158.517537,72.361512,65.077087,99.168962,40,53.748212,78.987342,31.79997,33.810127,31.160792,59.63212,40.46651,,1,Spool-0081,1,18.01.27-Tue.05.14.2019.csv
49.725581,60.357603,186.170802,169.104381,116.691453,94.962898,29.017169,14.209685,183.363343,3.503215,58.348895,50.517245,168.031903,187.973044,165.489833,183.549733,117.619987,182.276251,-0.000702,-1.596926,32,-235.798739,183.668448,-0.023949,30.933914,0.677333,364102.7787,0.95369,20.376533,0.996713,3.744058,0.072923,0.068448,202.379342,32,221.744135,196.262869,164.438712,179.721505,32,173.397421,72.642948,69.141036,106.527124,50.873418,56.775265,78.987342,9.21138,34.810127,38.026115,59.646175,44.017165,,1,Spool-0081,1,19.40.21-Tue.05.14.2019.csv
28.883573,34.804491,107.909945,97.782854,67.789103,55.225137,16.830823,8.242822,106.255777,1.951147,33.649992,29.340206,97.171865,108.92154,95.698818,106.327099,68.150458,105.592531,-0.000407,-0.926949,18.56,-136.76208,106.429117,-0.0139,17.941443,0.39278,211589.2761,0.553168,11.568982,0.598442,2.166863,0.042579,0.039927,116.880271,18.56,128.294716,113.518405,100.595522,103.880851,18.56,100.244487,42.167152,40.26903,61.685554,29.506582,33.598667,45.812658,5.963779,20.189873,22.566601,34.59489,25.534106,,1,Spool-0081,1,19.54.55-Tue.05.14.2019.csv
49.777642,60.010387,213.47305,182.111416,100.823889,92.494172,28.937478,14.216925,211.283718,3.881293,57.463883,50.505446,181.1833,215.662342,178.475085,211.308642,127.670241,210.191695,-0.000691,-1.437701,32,-235.7915,211.375766,-0.023989,34.250317,0.65652,336805.2759,0.929521,19.973696,1.212726,4.288583,0.068953,0.068839,221.453085,32,236.014511,208.165431,152.086301,195.657124,32,187.869902,72.906512,71.45461,114.38575,50.582278,53.398569,43.419579,42.042768,35.810127,44.228264,59.609405,47.522951,,1,Spool-0081,1,20.49.49-Tue.05.14.2019.csv
49.827932,59.873731,213.352094,181.334803,104.356153,92.675305,28.9399,14.20789,211.047937,3.623872,57.613311,50.667158,180.460532,215.287695,177.503306,211.185862,127.22133,209.720273,-0.000716,-1.445116,32,-235.800605,211.008754,-0.362939,34.167087,0.658317,333393.756,0.929916,19.787157,1.495173,4.28206,0.070814,0.072675,220.776281,32,235.070336,207.661217,191.280636,194.397602,32,187.054201,69.084339,62.688808,113.920914,55.506329,45.466913,43.41,41.520992,34.81,41.130618,59.610052,46.752015,,1,Spool-0081,1,18.26.53-Wed.05.15.2019.csv
