Torad 40 Ton Compressor Load Stand
J Singleton
Measured on:
Thursday, November 29, 2018
12:44:32 PM


Test Comments:

Measurements:
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
55.821150,75.157431,160.459825,161.546812,62.942707,57.195779,59.200489,12.768729,157.560727,1.490390,75.248031,56.395345,160.118639,159.701654,157.461203,158.363933,68.358602,157.907933,0.001918,0.014494,32.000000,-237.238469,158.571363,0.460585,15.146798,0.682061,281839.146824,0.915499,29.181874,40.240436,2.870704,69.581017,96.098112,54.720427
55.818661,75.141525,160.499401,161.557554,62.905938,57.195826,59.177183,12.768524,157.611964,1.490477,75.226403,56.393338,160.123769,159.754167,157.460947,158.417183,68.367238,157.959687,0.001936,0.014502,32.000000,-237.238601,158.622624,0.460450,15.143744,0.682137,281808.091957,0.915611,29.156301,40.261989,2.872951,69.579973,96.097650,54.723063
55.819504,75.117207,160.583727,161.574877,62.894384,57.195941,59.161723,12.769164,157.689856,1.490360,75.193306,56.391918,160.132751,159.831705,157.461480,158.495614,68.380317,158.036980,0.001933,0.014514,32.000000,-237.238022,158.701353,0.460596,15.152715,0.682163,281776.534092,0.915374,29.133078,40.282635,2.874535,69.578382,96.096649,54.726717
55.815165,75.092104,160.645694,161.593822,62.853616,57.195913,59.194844,12.769170,157.767349,1.490369,75.159787,56.385977,160.143499,159.907531,157.462971,158.572065,68.394145,158.114885,0.001921,0.014539,32.000000,-237.237960,158.777425,0.460450,15.153301,0.682472,281756.392552,0.915743,29.119532,40.296373,2.875372,69.577095,96.095878,54.731225
55.810551,75.066290,160.704643,161.614250,62.905702,57.195944,59.207502,12.770897,157.846376,1.490325,75.125240,56.379928,160.155219,159.986462,157.465723,158.650320,68.407180,158.196377,0.001918,0.014576,32.000000,-237.236250,158.856046,0.460533,15.159475,0.682348,281724.394817,0.915912,29.094415,40.316698,2.876839,69.575860,96.095261,54.736132
55.806679,75.048507,160.774195,161.628781,62.908773,57.195928,59.187138,12.771694,157.897172,1.490383,75.101487,56.374476,160.163677,160.038975,157.467675,158.701815,68.415824,158.249061,0.001935,0.014573,32.000000,-237.235408,158.907854,0.460623,15.167726,0.682583,281692.096339,0.915418,29.073429,40.336529,2.878173,69.575167,96.095197,54.739843
55.796674,75.021010,160.830701,161.652250,62.915251,57.195978,59.250483,12.771511,157.968014,1.633989,75.063669,56.365376,160.177181,160.113697,157.471892,158.776049,68.429156,158.324206,0.001944,0.014591,32.000000,-237.235455,158.968676,0.507791,15.169384,0.682565,281660.463523,0.915245,29.051993,40.358687,2.879467,69.574032,96.094420,54.745332
55.785745,74.992748,160.907102,161.676782,62.839292,57.187782,59.190510,12.773094,158.046569,1.495915,75.025308,56.354093,160.192613,160.190235,157.477071,158.851758,68.442153,158.397084,0.001932,0.014584,32.000000,-237.233882,159.055787,0.460542,15.173813,0.682488,281638.979892,0.915588,29.037883,40.372790,2.880913,69.573393,96.093533,54.751099
55.766127,74.963119,160.977549,161.702987,62.843085,57.171584,59.172609,12.772268,158.118994,1.491016,74.985264,56.334943,160.209663,160.260694,157.483270,158.923057,68.454347,158.466762,0.001929,0.014594,32.000000,-237.234672,159.128544,0.460390,15.177862,0.682722,281607.231036,0.914726,29.019879,40.391891,2.882442,69.573313,96.091811,54.756292
55.754410,74.942942,161.018023,161.721538,62.863844,57.155320,59.210216,12.772915,158.166826,1.491011,74.959213,56.322657,160.222328,160.309858,157.488551,158.970143,68.462939,158.513655,0.001929,0.014590,32.000000,-237.234018,159.175922,0.460505,15.182304,0.682830,281534.566978,0.915652,29.001989,40.410336,2.884377,69.573498,96.090899,54.759744
55.732520,74.912578,161.112407,161.751265,62.760042,57.130970,59.176300,12.773358,158.237715,1.490897,74.920589,56.300229,160.242902,160.380548,157.496783,159.037704,68.475842,158.583905,0.001946,0.014581,32.000000,-237.233529,159.248239,0.460650,15.186301,0.682942,281425.109968,0.915954,28.990983,40.428195,2.886655,69.574039,96.089505,54.764649
55.711098,74.882446,161.185290,161.783731,62.742459,57.106641,59.161531,12.775208,158.308599,1.490948,74.882864,56.277749,160.265544,160.451542,157.507081,159.107848,68.488792,158.654164,0.001932,0.014565,32.000000,-237.231694,159.319412,0.460402,15.194385,0.682830,281324.008037,0.915276,28.981930,40.439822,2.887987,69.576077,96.088895,54.768793
55.685184,74.852650,161.255587,161.817921,62.825211,57.082267,59.187902,12.775437,158.377849,1.490799,74.844961,56.251742,160.290084,160.518573,157.517365,159.174233,68.501479,158.721940,0.001920,0.014566,32.000000,-237.231485,159.386736,0.460550,15.201252,0.682982,281173.709393,0.915734,28.972354,40.457202,2.890815,69.577969,96.088846,54.772350
55.665991,74.832812,161.324147,161.841629,62.795022,57.065987,59.182505,12.776417,158.427123,1.308967,74.819619,56.234574,160.307193,160.562561,157.524600,159.218627,68.510092,158.767122,0.001920,0.014562,32.000000,-237.230509,159.457768,0.396780,15.202798,0.682842,281023.590004,0.915889,28.962571,40.474528,2.893235,69.578974,96.089225,54.774339
