Torad 40 Ton Compressor Load Stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Singleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday, November 28,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:49:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psuc,Tsuc,Pdis,Tdis,Msuc,Mdis,Speed,Pamb,Poil,Moil,Tsuc2,Psuc2,Tdis2,Pdis2,T04,P04,T05,P05,M03,M04,T07,P07,Poil2,Moil2,Power,eta_is,Q_dot,eta_vol,DT_sup,DT_sub,Pressure Ratio,Tamb,Twi,Twe
psia,F,psia,F,lbm/min,lbm/min,rpm,psia,psia,lbm/min,F,psia,F,psia,F,psia,F,F,lb/min,lb/min,F,psia,psia,lbm/min,kW,,Btu/h,,F,F,,F,F,F
53.213644,67.098077,53.196835,68.012704,-0.118457,-0.427574,0,12.529267,53.034323,-0.66439,66.677459,53.300115,66.873485,51.976495,67.234532,52.710859,45.667411,53.211781,0.001662,0.011783,32,-237.47262,54.01976,-0.028532,0.018654,0.001173,NaN,#NAME?,23.581208,-2.16332,0.999689,67.691206,55.047264,52.307843
53.210639,67.098966,53.194546,68.013035,-0.118391,-0.427711,0,12.528967,53.031078,-0.664386,66.678795,53.297898,66.874878,51.972668,67.235646,52.707893,45.664842,53.208,0.001644,0.011781,32,-237.472908,54.016855,-0.028529,0.018683,0.001177,NaN,#NAME?,23.587014,-2.164397,0.999689,67.692734,55.044381,52.307458
53.206099,67.10027,53.19028,68.013533,-0.11821,-0.427564,0,12.528983,53.026007,-0.664398,66.680359,53.294421,66.877008,51.968979,67.237072,52.702892,45.660741,53.202006,0.00164,0.011749,32,-237.472841,54.01301,-0.02843,0.018735,0.001189,NaN,#NAME?,23.592719,-2.163884,0.999684,67.694329,55.040678,52.307999
53.201333,67.101566,53.184455,68.014046,-0.118066,-0.427388,0,12.528213,53.020568,-0.667549,66.681941,53.289327,66.879843,51.964409,67.238858,52.695985,45.657005,53.196844,0.001641,0.011728,32,-237.473562,54.009577,-0.028407,0.018747,0.001155,NaN,#NAME?,23.596563,-2.165036,0.999698,67.696446,55.037406,52.310982
53.196201,67.102905,53.17945,68.01453,-0.11805,-0.427435,0,12.527686,53.015772,-0.667552,66.683293,53.285741,66.881519,51.958632,67.240492,52.690718,45.652672,53.189572,0.00166,0.01172,32,-237.474083,54.006916,-0.028425,0.018752,0.001135,NaN,#NAME?,23.602334,-2.166834,0.999703,67.697684,55.033888,52.314582
53.192984,67.103764,53.177143,68.014866,-0.117977,-0.42748,0,12.527462,53.013908,-0.667553,66.683482,53.282075,66.882321,51.955444,67.240869,52.6863,45.648885,53.186859,0.001662,0.011719,32,-237.474327,54.00522,-0.028279,0.018761,0.001182,NaN,#NAME?,23.608321,-2.168177,0.999683,67.698168,55.030713,52.316257
53.189763,67.105032,53.173951,68.015398,-0.118006,-0.427543,0,12.528284,53.01235,-0.705744,66.684734,53.278315,66.883593,51.951854,67.241783,52.682873,45.64318,53.184376,0.001641,0.011711,32,-237.473484,54.005973,-0.028274,0.018788,0.001186,NaN,#NAME?,23.614711,-2.171003,0.999685,67.698779,55.026624,52.318969
53.185705,67.106311,53.169561,68.015963,-0.118077,-0.427627,0,12.528261,53.009575,-0.686552,66.686007,53.27284,66.885177,51.946587,67.242884,52.678528,45.637291,53.178697,0.001641,0.0117,32,-237.47351,53.999685,-0.028332,0.018791,0.001107,NaN,#NAME?,23.618736,-2.169887,0.999702,67.698698,55.021429,52.321665
53.181345,67.107571,53.165056,68.016469,-0.118027,-0.427661,0,12.528106,53.005286,-0.684887,66.687476,53.268816,66.887273,51.941749,67.244313,52.674839,45.632456,53.17484,0.001646,0.01171,32,-237.473676,53.995625,-0.028306,0.018791,0.001126,NaN,#NAME?,23.623176,-2.166627,0.999703,67.69853,55.016624,52.325172
53.178692,67.108419,53.163639,68.016811,-0.117943,-0.427645,0,12.528189,53.00386,-0.752732,66.688228,53.265842,66.888296,51.939377,67.244982,52.67264,45.629079,53.173248,0.001664,0.011702,32,-237.473582,53.995747,-0.028457,0.018784,0.001153,NaN,#NAME?,23.628449,-2.166328,0.999696,67.698632,55.013106,52.326783
53.172488,67.10969,53.156703,68.017362,-0.117854,-0.427674,0,12.526429,52.997313,-0.752741,66.689327,53.259943,66.889884,51.933004,67.245858,52.666986,45.624049,53.169043,0.001644,0.011709,32,-237.475258,53.989245,-0.028472,0.018809,0.001145,NaN,#NAME?,23.634,-2.165289,0.999694,67.698472,55.00787,52.328843
53.168504,67.111005,53.152795,68.01797,-0.117741,-0.427585,0,12.526399,52.990558,-0.752722,66.691686,53.257485,66.892222,51.928943,67.247905,52.662439,45.618815,53.164886,0.001639,0.011725,32,-237.47535,53.984397,-0.028456,0.018822,0.001088,NaN,#NAME?,23.63746,-2.163481,0.999717,67.699425,55.003398,52.331335
53.164444,67.112265,53.148125,68.018546,-0.117678,-0.427718,0,12.526287,52.986929,-0.757161,66.693079,53.252673,66.894113,51.923941,67.249013,52.659662,45.613525,53.162695,0.001644,0.011731,32,-237.475553,53.982155,-0.028595,0.018832,0.0011,NaN,#NAME?,23.644838,-2.16259,0.999703,67.700194,54.998286,52.33313
53.16153,67.113073,53.145718,68.018904,-0.117662,-0.427771,0,12.52608,52.983623,-0.757156,66.694066,53.249795,66.895346,51.92154,67.249887,52.656936,45.610519,53.16082,0.001662,0.011738,32,-237.475721,53.978528,-0.028551,0.018835,0.001093,NaN,#NAME?,23.650077,-2.16145,0.999705,67.700785,54.994761,52.334689
53.157516,67.114265,53.140996,68.019455,-0.117605,-0.427711,0,12.526165,52.979174,-0.757153,66.694341,53.246978,66.896353,51.917525,67.250732,52.651824,45.605564,53.155999,0.001644,0.011732,32,-237.475638,53.974457,-0.028499,0.018831,0.001139,NaN,#NAME?,23.655333,-2.158316,0.999693,67.70135,54.989728,52.338136
53.154215,67.115549,53.137046,68.020044,-0.117552,-0.427577,0,12.526217,52.97441,-0.783315,66.695147,53.24226,66.896699,51.912333,67.251583,52.649279,45.600552,53.155007,0.001641,0.01173,32,-237.475638,53.973175,-0.02852,0.018817,0.001105,NaN,#NAME?,23.659013,-2.157157,0.999703,67.701502,54.984605,52.34209
53.149837,67.116848,53.133127,68.020606,-0.117466,-0.427511,0,12.525972,52.969428,-0.783316,66.696469,53.237562,66.897837,51.909641,67.252454,52.645078,45.5962,53.150998,0.001641,0.011715,32,-237.475938,53.968571,-0.028503,0.018809,0.001147,NaN,#NAME?,23.664155,-2.156951,0.999689,67.701499,54.980962,52.347938
53.147205,67.117676,53.129853,68.021019,-0.117395,-0.427572,0,12.526222,52.96596,-0.745926,66.697143,53.234495,66.8987,51.907626,67.253271,52.643226,45.593709,53.147453,0.001659,0.011726,32,-237.475732,53.962794,-0.028526,0.018781,0.001225,NaN,#NAME?,23.668691,-2.152914,0.999677,67.701207,54.979176,52.352157
53.142761,67.118922,53.125012,68.021554,-0.117287,-0.42781,0,12.525885,52.960657,-0.745911,66.698462,53.231588,66.900188,51.903555,67.254955,52.638672,45.59014,53.142939,0.001661,0.011744,32,-237.475979,53.957339,-0.028414,0.018779,0.00118,NaN,#NAME?,23.674302,-2.152509,0.999686,67.70091,54.977602,52.359741
53.139055,67.120193,53.121027,68.022126,-0.117135,-0.427847,0,12.526385,52.958072,-0.774968,66.700055,53.230592,66.902162,51.900442,67.256371,52.635047,45.587042,53.140551,0.001641,0.011775,32,-237.475445,53.956546,-0.028378,0.01875,0.001204,NaN,#NAME?,23.677722,-2.15351,0.999674,67.700172,54.976666,52.36703
53.134677,67.121442,53.116556,68.022694,-0.11691,-0.42786,0,12.526103,52.952539,-0.77498,66.70128,53.227926,66.903871,51.895433,67.257431,52.629945,45.583258,53.137534,0.001641,0.011794,32,-237.475723,53.949784,-0.028332,0.018758,0.001272,NaN,#NAME?,23.683346,-2.154389,0.999666,67.699386,54.975975,52.372119
53.131135,67.122278,53.113165,68.023074,-0.116933,-0.427802,0,12.52534,52.948405,-0.774989,66.701914,53.224608,66.904757,51.89117,67.258324,52.626529,45.58081,53.134585,0.001648,0.011791,32,-237.476436,53.947507,-0.028302,0.018783,0.001262,NaN,#NAME?,23.688267,-2.153642,0.999661,67.698398,54.975755,52.374258
53.126393,67.123525,53.108724,68.023655,-0.116776,-0.427718,0,12.525123,52.944095,-0.72849,66.703233,53.220925,66.90595,51.887945,67.259955,52.622958,45.575772,53.130006,0.001666,0.011814,32,-237.476578,53.939658,-0.028347,0.018784,0.001301,NaN,#NAME?,23.693829,-2.152829,0.999659,67.697558,54.975307,52.37775
53.122221,67.124771,53.104443,68.024176,-0.116736,-0.427797,0,12.52523,52.940726,-0.7401,66.704712,53.219094,66.907395,51.883665,67.261212,52.620877,45.57077,53.124392,0.001644,0.011834,32,-237.476576,53.935784,-0.028342,0.018772,0.001254,NaN,#NAME?,23.698154,-2.153287,0.999662,67.696989,54.975056,52.381391
53.117076,67.125998,53.097738,68.024669,-0.116723,-0.427821,0,12.524168,52.937648,-0.740104,66.70564,53.216077,66.908193,51.878932,67.26184,52.616995,45.566601,53.119372,0.001641,0.011845,32,-237.477703,53.932595,-0.028329,0.018752,0.00125,NaN,#NAME?,23.704071,-2.152759,0.999667,67.695181,54.974215,52.384282
53.113437,67.126815,53.095514,68.025013,-0.11655,-0.427899,0,12.523936,52.935865,-0.740106,66.70609,53.214682,66.908694,51.876463,67.262249,52.61459,45.563126,53.115791,0.001648,0.011835,32,-237.477957,53.928991,-0.028459,0.018754,0.001272,NaN,#NAME?,23.709428,-2.153289,0.999665,67.693565,54.973584,52.385549
53.108676,67.128028,53.091226,68.025547,-0.11644,-0.427831,0,12.522535,52.929407,-0.740119,66.707217,53.209763,66.910499,51.871212,67.2633,52.611446,45.558719,53.111998,0.001665,0.011825,32,-237.479363,53.924821,-0.028438,0.018743,0.001389,NaN,#NAME?,23.715724,-2.154066,0.999636,67.690893,54.97339,52.38763
53.103573,67.129269,53.086072,68.02604,-0.116351,-0.427669,0,12.522139,52.926299,-0.731372,66.708611,53.204999,66.912047,51.866775,67.264291,52.607369,45.553647,53.107835,0.001649,0.011831,32,-237.479746,53.919762,-0.028565,0.018698,0.001262,NaN,#NAME?,23.720127,-2.15412,0.999663,67.687677,54.972943,52.389194
53.098958,67.130493,53.081296,68.026599,-0.116162,-0.427739,0,12.521324,52.920372,-0.722466,66.710446,53.200863,66.913412,51.862296,67.265813,52.602422,45.547756,53.104593,0.001645,0.011843,32,-237.480557,53.912959,-0.028597,0.018652,0.001246,NaN,#NAME?,23.726033,-2.153449,0.999671,67.68424,54.972194,52.390141
53.09598,67.131296,53.078117,68.026957,-0.116081,-0.427645,0,12.520844,52.917395,-0.722449,66.711269,53.198923,66.91451,51.859439,67.266346,52.599856,45.544291,53.102652,0.001644,0.011856,32,-237.480997,53.909172,-0.028514,0.018623,0.001254,NaN,#NAME?,23.732303,-2.152481,0.99967,67.68226,54.971895,52.390998
53.09163,67.13254,53.073994,68.02745,-0.115845,-0.427747,0,12.520686,52.913559,-0.72245,66.712251,53.197554,66.915589,51.856196,67.267624,52.599545,45.539127,53.097451,0.001662,0.011861,32,-237.481249,53.907008,-0.02853,0.018582,0.001273,NaN,#NAME?,23.738074,-2.149784,0.999667,67.678953,54.971267,52.392575
53.08802,67.133745,53.07012,68.027976,-0.115614,-0.427842,0,12.520712,52.908364,-0.765788,66.713097,53.195145,66.916836,51.852326,67.268554,52.597209,45.534617,53.091192,0.001662,0.01186,32,-237.481312,53.907358,-0.028475,0.018548,0.001297,NaN,#NAME?,23.741814,-2.148232,0.999664,67.675646,54.970961,52.393476
53.084208,67.134903,53.066729,68.028447,-0.115441,-0.427968,0,12.520962,52.904425,-0.710416,66.714382,53.192326,66.918211,51.849548,67.269285,52.595592,45.529736,53.09146,0.001641,0.01185,32,-237.481136,53.902862,-0.028456,0.018513,0.001263,NaN,#NAME?,23.747344,-2.148194,0.999668,67.67379,54.970211,52.394957
53.082469,67.135712,53.064086,68.028756,-0.115349,-0.428128,0,12.521356,52.902579,-0.710408,66.715165,53.191465,66.919375,51.846964,67.269965,52.592242,45.526045,53.088976,0.001641,0.011846,32,-237.480737,53.897906,-0.028471,0.01851,0.00129,NaN,#NAME?,23.752107,-2.149852,0.999663,67.672261,54.969773,52.396404
53.078839,67.136964,53.060786,68.029271,-0.115097,-0.428193,0,12.521436,52.899297,-0.710396,66.716088,53.185863,66.921073,51.842179,67.270485,52.588676,45.52046,53.085192,0.00165,0.011829,32,-237.480647,53.894974,-0.028429,0.018528,0.001231,NaN,#NAME?,23.757024,-2.144709,0.999671,67.669655,54.968965,52.398339
53.075386,67.13816,53.057738,68.029794,-0.114963,-0.428406,0,12.521815,52.894902,-0.762812,66.717509,53.182689,66.922587,51.838837,67.272186,52.583274,45.515915,53.081634,0.001662,0.011841,32,-237.480367,53.896204,-0.028455,0.01853,0.001337,NaN,#NAME?,23.759548,-2.143466,0.999654,67.667243,54.968751,52.400063
53.071806,67.139352,53.053611,68.030328,-0.114987,-0.428623,0,12.521816,52.889363,-0.762818,66.718863,53.179797,66.924319,51.83548,67.273747,52.579882,45.512328,53.076916,0.001642,0.011859,32,-237.480341,53.894703,-0.028345,0.01856,0.001323,NaN,#NAME?,23.764378,-2.141611,0.99966,67.664954,54.967977,52.401945
53.069279,67.140166,53.050962,68.03067,-0.114935,-0.428629,0,12.521826,52.886212,-0.762827,66.719576,53.177384,66.924787,51.833178,67.274116,52.577451,45.509723,53.07345,0.001638,0.01186,32,-237.480295,53.891298,-0.028327,0.018567,0.001283,NaN,#NAME?,23.768979,-2.140574,0.999667,67.663223,54.967304,52.401912
53.065128,67.141404,53.047541,68.031169,-0.114872,-0.428684,0,12.521476,52.881114,-0.66745,66.720826,53.174292,66.925771,51.829993,67.275091,52.575047,45.50584,53.068572,0.001646,0.011865,32,-237.480746,53.884929,-0.028363,0.018545,0.001321,NaN,#NAME?,23.7737,-2.141638,0.999657,67.661796,54.966176,52.401061
53.060721,67.142614,53.043963,68.031678,-0.114743,-0.428673,0,12.521021,52.877118,-0.680899,66.722357,53.170713,66.926519,51.825329,67.275873,52.571347,45.501323,53.063467,0.001661,0.011855,32,-237.481204,53.881401,-0.028344,0.01854,0.001294,NaN,#NAME?,23.777005,-2.142449,0.999655,67.660706,54.96479,52.39845
53.056932,67.143781,53.04132,68.032152,-0.114536,-0.428754,0,12.521025,52.874127,-0.680889,66.723594,53.167718,66.927764,51.821346,67.276543,52.568812,45.49602,53.060677,0.001643,0.011866,32,-237.481275,53.877813,-0.028461,0.018518,0.001253,NaN,#NAME?,23.782337,-2.143376,0.999669,67.660185,54.963203,52.393382
53.053878,67.144975,53.038655,68.032625,-0.114394,-0.428691,0,12.521611,52.870031,-0.680868,66.725076,53.165664,66.929546,51.820486,67.277159,52.56628,45.491235,53.057346,0.001641,0.011884,32,-237.480614,53.874403,-0.028478,0.018522,0.001227,NaN,#NAME?,23.787892,-2.143894,0.999684,67.660379,54.961891,52.388543
53.051036,67.145773,53.035408,68.032884,-0.114289,-0.428644,0,12.521339,52.86767,-0.68087,66.726127,53.164925,66.929988,51.817988,67.277743,52.562573,45.48874,53.054546,0.001642,0.011884,32,-237.480796,53.871175,-0.028459,0.01852,0.001114,NaN,#NAME?,23.792795,-2.141341,0.999706,67.660496,54.961049,52.384909
53.047619,67.146958,53.031185,68.033264,-0.114127,-0.428608,0,12.521414,52.863818,-0.68087,66.72707,53.164038,66.931069,51.815281,67.278628,52.557419,45.485573,53.049147,0.00166,0.011898,32,-237.480694,53.870585,-0.02856,0.018537,0.001085,NaN,#NAME?,23.797001,-2.139841,0.999713,67.661437,54.959698,52.379384
